# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi    
    2       1.371825631731e-10       6.123887176909e-15       4.534057944861e-13       2.462927296066e-19       8.853934826768e-09       4.151803375916e-10      -2.311109044122e-12 
    3       1.311182580883e-10       9.737414074671e-15       5.464909540690e-13       4.927560304622e-19       5.544189925745e-09       2.996496739763e-10      -1.965202552669e-12 
    4       1.246670847162e-10       1.065217980027e-14       5.475770320755e-13       8.216339342816e-19       3.866345325594e-09       2.291503690724e-10      -1.509085598728e-12 
    5       1.195412450800e-10       9.168254260252e-15       4.991245111955e-13       1.233139684629e-18       2.888062888677e-09       1.823122546534e-10      -1.066005246294e-12 
    6       1.158375245109e-10       6.540112649770e-15       4.284614776893e-13       1.727528069125e-18       2.256323371645e-09       1.491302333135e-10      -6.785271534730e-13 
    7       1.133374975420e-10       4.014926905617e-15       3.536154450966e-13       2.305088227111e-18       1.818970622415e-09       1.245161034783e-10      -3.665543510106e-13 
    8       1.117910938523e-10       2.271331976729e-15       2.849135398247e-13       2.966135637447e-18       1.501575593808e-09       1.056836289161e-10      -1.360972166644e-13 
    9       1.109987034735e-10       1.380486192621e-15       2.279216572824e-13       3.711003582722e-18       1.263526491634e-09       9.093716843446e-11       1.607662462523e-14 
   10       1.107766750216e-10       1.059396116313e-15       1.850864251609e-13       4.540034403610e-18       1.080163635328e-09       7.915735556961e-11       9.981108125917e-14 
   11       1.109793034003e-10       9.691625954146e-16       1.566197580392e-13       5.453570862256e-18       9.059249794782e-10       6.988469185121e-11       1.288129535885e-13 
   12       1.115726566233e-10       8.971645287647e-16       1.410275803124e-13       6.451947926213e-18       7.913788312561e-10       6.180279074536e-11       1.196826629795e-13 
   13       1.124239525870e-10       7.880932388032e-16       1.357224547338e-13       7.535485264988e-18       6.973792586729e-10       5.530967887546e-11       8.795998768835e-14 
   14       1.134391358589e-10       6.788433308656e-16       1.378489845676e-13       8.704480720329e-18       6.191982576127e-10       4.960802665666e-11       4.632617975778e-14 
   15       1.146792024330e-10       6.169708923040e-16       1.446474717350e-13       9.959204970407e-18       5.534093687987e-10       4.480485643768e-11       5.706350711791e-15 
   16       1.160266641040e-10       6.158516514382e-16       1.536851949101e-13       1.129989755858e-17       4.974886625060e-10       4.072766144856e-11      -2.701791251568e-14 
   17       1.175092951126e-10       6.554444015792e-16       1.631898923353e-13       1.272676440150e-17       4.495300529732e-10       3.724258313050e-11      -4.831773358743e-14 
   18       1.190880796608e-10       7.050299074769e-16       1.720940806009e-13       1.423997612238e-17       4.079120465013e-10       3.415460676824e-11      -5.764484802230e-14 
   19       1.207536355045e-10       7.555420487723e-16       1.800306753439e-13       1.583967216303e-17       3.719763421769e-10       3.139958849679e-11      -5.646518568367e-14 
   20       1.224662266223e-10       8.070075618264e-16       1.868698719566e-13       1.752595504173e-17       3.403306301793e-10       2.890852350095e-11      -4.786549817995e-14 
   21       1.242469350700e-10       8.733095108099e-16       1.929463350799e-13       1.929890420375e-17       3.124764048484e-10       2.669795991409e-11      -3.502697478765e-14 
   22       1.261027456532e-10       9.726800451280e-16       1.988141292916e-13       2.115856933369e-17       2.877474044606e-10       2.476983610790e-11      -2.165914810843e-14 
   23       1.280209657101e-10       1.108393592636e-15       2.048782021188e-13       2.310498750749e-17       2.658025953591e-10       2.306360337462e-11      -1.018540916755e-14 
   24       1.299646131143e-10       1.277378451624e-15       2.114794711378e-13       2.513817645021e-17       2.461331248225e-10       2.148228026204e-11      -2.562710790442e-15 
   25       1.319471578377e-10       1.474762519885e-15       2.187040791823e-13       2.725815530051e-17       2.285072382618e-10       2.002494559076e-11       7.215238046216e-16 
   26       1.339801037927e-10       1.694993143244e-15       2.264818916403e-13       2.946493634863e-17       2.126057724967e-10       1.870847008522e-11      -4.177886037954e-17 
   27       1.360535593753e-10       1.938460604182e-15       2.345244282292e-13       3.175854363483e-17       1.982376714172e-10       1.753560949749e-11      -3.714966129908e-15 
   28       1.381430403138e-10       2.206909807973e-15       2.424185883441e-13       3.413900763908e-17       1.851547946143e-10       1.649353399508e-11      -8.732250757878e-15 
   29       1.402568606594e-10       2.499611494650e-15       2.498024878056e-13       3.660638868291e-17       1.732900311268e-10       1.556288660285e-11      -1.406225512264e-14 
   30       1.424028991141e-10       2.814546997454e-15       2.562612477408e-13       3.916076236616e-17       1.625156102051e-10       1.470818601672e-11      -1.864392708032e-14 
   31       1.445791394116e-10       3.149733595188e-15       2.613633106417e-13       4.180221973876e-17       1.526113332824e-10       1.388807619095e-11      -2.140550107769e-14 
   32       1.467912133479e-10       3.506227042602e-15       2.649492144509e-13       4.453088699875e-17       1.435260031025e-10       1.310767129141e-11      -2.217816158367e-14 
   33       1.490388189089e-10       3.886268507053e-15       2.669505642496e-13       4.734691731056e-17       1.351954240572e-10       1.238472325329e-11      -2.113071389498e-14 
   34       1.513138998372e-10       4.292438458391e-15       2.673427851558e-13       5.025048709313e-17       1.275030423435e-10       1.173182810266e-11      -1.858224145829e-14 
   35       1.536149990009e-10       4.727288396385e-15       2.662339230410e-13       5.324179181073e-17       1.204094370290e-10       1.114258510343e-11      -1.513639656906e-14 
   36       1.559360748415e-10       5.193626206629e-15       2.638130459011e-13       5.632105286513e-17       1.138576008256e-10       1.059962278990e-11      -1.161553505480e-14 
   37       1.582675645900e-10       5.694115188902e-15       2.602796711151e-13       5.948850921787e-17       1.077621517099e-10       1.008368759341e-11      -8.850004331315e-15 
   38       1.606163728385e-10       6.229481710916e-15       2.556673098806e-13       6.274437659203e-17       1.021073156981e-10       9.594619906401e-12      -7.029950187253e-15 
   39       1.629913752835e-10       6.799707463433e-15       2.499639453432e-13       6.608887773402e-17       9.687514329418e-11       9.136752375539e-12      -6.144490014675e-15 
   40       1.653974501322e-10       7.404483661046e-15       2.431590827617e-13       6.952225510319e-17       9.201570701337e-11       8.713106129694e-12      -6.151994009052e-15 
   41       1.678356381893e-10       8.043430000279e-15       2.352226896272e-13       7.304475040155e-17       8.746449337346e-11       8.324753761191e-12      -6.948394349230e-15 
   42       1.703048484966e-10       8.716885413807e-15       2.260341644910e-13       7.665653184469e-17       8.320809367010e-11       7.969013329959e-12      -8.265907547132e-15 
   43       1.727998938459e-10       9.425341017274e-15       2.154299693963e-13       8.035774552837e-17       7.923520274163e-11       7.640418262333e-12      -9.737000159675e-15 
   44       1.753104635363e-10       1.016921980128e-14       2.032209590199e-13       8.414853510458e-17       7.551690679248e-11       7.330978365760e-12      -1.091615607301e-14 
   45       1.778257444882e-10       1.094891893421e-14       1.892307551248e-13       8.802902030441e-17       7.201701116748e-11       7.032497987389e-12      -1.139296560245e-14 
   46       1.803509675381e-10       1.176496017358e-14       1.734283075873e-13       9.199922517762e-17       6.873000889667e-11       6.744783524231e-12      -1.118245366555e-14 
   47       1.828950603593e-10       1.261787834258e-14       1.558322519387e-13       9.605912816300e-17       6.565207875970e-11       6.469581696337e-12      -1.044368883900e-14 
   48       1.854658722368e-10       1.350817844985e-14       1.364750703602e-13       1.002086802314e-16       6.276963376563e-11       6.208257244187e-12      -9.374424443916e-15 
   49       1.880700260864e-10       1.443633475779e-14       1.154037992314e-13       1.044478035180e-16       6.005859488649e-11       5.961755829775e-12      -8.213314759644e-15 
   50       1.907119634689e-10       1.540273840771e-14       9.267020102002e-14       1.087763859009e-16       5.749164390988e-11       5.730514357783e-12      -7.193603728848e-15 
   51       1.933911173530e-10       1.640752569717e-14       6.829649343896e-14       1.131942661769e-16       5.506398784732e-11       5.514249311377e-12      -6.384229842525e-15 
   52       1.961037161366e-10       1.745070157996e-14       4.230154089819e-14       1.177012424978e-16       5.277333258736e-11       5.312046834799e-12      -5.809421833584e-15 
   53       1.988433420336e-10       1.853218376229e-14       1.471078385476e-14       1.222970745495e-16       5.061217255333e-11       5.122371657336e-12      -5.493390733518e-15 
   54       2.016007451159e-10       1.965179935022e-14      -1.444354943385e-14       1.269814819934e-16       4.856743992492e-11       4.943027520053e-12      -5.460262438722e-15 
   55       2.043670204081e-10       2.080934473489e-14      -4.513605654471e-14       1.317541722392e-16       4.662449183578e-11       4.771733873635e-12      -5.719935793479e-15 
