# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi    
    2       1.314204882920e-10       5.715025964051e-15       4.501312515168e-13       2.789603614483e-19       9.412981699816e-09       3.740202001318e-10      -2.236772656705e-12 
    3       1.267024273277e-10       9.347126499822e-15       5.432547740347e-13       5.581191414735e-19       5.780813885567e-09       2.724562404709e-10      -1.928222629566e-12 
    4       1.212308582014e-10       1.056721756741e-14       5.483718510767e-13       9.306330797193e-19       4.020958548111e-09       2.100842104443e-10      -1.508623465195e-12 
    5       1.168027238045e-10       9.438455779868e-15       5.045744894819e-13       1.396749108344e-18       3.004120331823e-09       1.681467578416e-10      -1.093673945064e-12 
    6       1.135617404623e-10       7.015176525400e-15       4.378291431562e-13       1.956761293340e-18       2.348973626915e-09       1.381397637515e-10      -7.237324709547e-13 
    7       1.113772675834e-10       4.484959810581e-15       3.655865299189e-13       2.611001940077e-18       1.897200885233e-09       1.157614237969e-10      -4.186097369569e-13 
    8       1.100673403752e-10       2.596806306047e-15       2.979591500350e-13       3.359831714124e-18       1.569870089414e-09       9.858933641445e-11      -1.857640552953e-13 
    9       1.094285128833e-10       1.538575835470e-15       2.406004344650e-13       4.203629156508e-18       1.323429216043e-09       8.508235012539e-11      -2.435889501559e-14 
   10       1.093111184682e-10       1.110945917933e-15       1.962063385877e-13       5.142779993846e-18       1.132251156153e-09       7.422395819639e-11       7.255875792984e-14 
   11       1.096104311156e-10       9.928376594127e-16       1.653459817931e-13       6.177666649044e-18       9.480132979773e-10       6.561277810331e-11       1.156838578647e-13 
   12       1.102032059099e-10       9.395930348647e-16       1.471147405245e-13       7.308658347169e-18       8.287835799787e-10       5.813398110480e-11       1.194452203592e-13 
   13       1.110702849518e-10       8.524063925676e-16       1.395871649440e-13       8.536102184208e-18       7.308851572741e-10       5.194766332008e-11       9.720064975297e-14 
