# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.416504567932e+04       1.416504567932e-10       1.416504567932e+18       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.903443976270e+44       4.655004511898e+44       4.655004511898e+44       1.551668170580e+44      -1.339118148791e+53       5.536866305455e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.416504567932e+04       1.426420099908e-10       1.406657962197e+18       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.851067333040e+44       4.526913791294e+44       4.526913791294e+44       1.508971263713e+44      -1.293217411572e+53       7.724608131421e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.416504567932e+04       1.436405040607e-10       1.396879803572e+18       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.800131926217e+44       4.402347714471e+44       4.402347714471e+44       1.467449238106e+44      -1.248890006534e+53       1.544921626284e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.416504567932e+04       1.446459875891e-10       1.387169616258e+18       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.750598097619e+44       4.281209294592e+44       4.281209294592e+44       1.427069764814e+44      -1.206082004822e+53       2.317382439425e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.416504567932e+04       1.456585095022e-10       1.377526927763e+18       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.702427280332e+44       4.163404213587e+44       4.163404213587e+44       1.387801404480e+44      -1.164741326094e+53       3.089843252566e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.416504567932e+04       1.466781190687e-10       1.367951268881e+18       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.655581968676e+44       4.048840748713e+44       4.048840748713e+44       1.349613582857e+44      -1.124817675156e+53       3.862304065707e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.416504567932e+04       1.477048659022e-10       1.358442173666e+18       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.610025689010e+44       3.937429701143e+44       3.937429701143e+44       1.312476567001e+44      -1.086262480774e+53       4.634764878848e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.416504567932e+04       1.487387999635e-10       1.348999179410e+18       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.565722971329e+44       3.829084326512e+44       3.829084326512e+44       1.276361442125e+44      -1.049028836584e+53       5.407225691990e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.416504567932e+04       1.497799715633e-10       1.339621826623e+18       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.522639321645e+44       3.723720267383e+44       3.723720267383e+44       1.241240089083e+44      -1.013071444022e+53       6.179686505130e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.416504567932e+04       1.508284313642e-10       1.330309659010e+18       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.480741195137e+44       3.621255487561e+44       3.621255487561e+44       1.207085162477e+44      -9.783465572162e+52       6.952147318271e-07       1.592850683960e+01 
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.416504567932e+04       1.518842303838e-10       1.321062223446e+18       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.439995970030e+44       3.521610208226e+44       3.521610208226e+44       1.173870069366e+44      -9.448119297656e+52       7.724608131412e-07       1.433565615564e+01 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.416504567932e+04       1.529474199965e-10       1.311879069956e+18       2.889372237778e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.400371922191e+44       3.424706845811e+44       3.424706845811e+44       1.141568948562e+44      -9.124267633419e+52       8.497068944553e-07       1.303241468694e+01 
       9.197003533823e+13       8.935999162357e-26       5.040419637226e-09       1.824957520492e+22       1.416504567932e+04       1.540180519364e-10       1.302759751695e+18       2.909597843442e-09       1.968631751041e+44       1.907003882029e+33       1.041962269965e+34       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.361838200436e+44       3.330469951600e+44       3.330469951600e+44       1.110156650492e+44      -8.811516580545e+52       9.269529757693e-07       1.194638012970e+01 
       9.133072029615e+13       9.061541014589e-26       5.074980435893e-09       1.799673901845e+22       1.416504567932e+04       1.550961783000e-10       1.293703824920e+18       2.929965028346e-09       1.914461350357e+44       1.867510986638e+33       1.020383862434e+34       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.324364802505e+44       3.238826152983e+44       3.238826152983e+44       1.079608717621e+44      -8.509485645164e+52       1.004199057083e-06       1.102742781203e+01 
       9.069584935070e+13       9.188846604302e-26       5.109541234560e-09       1.774740571556e+22       1.416504567932e+04       1.561818515481e-10       1.284710848977e+18       2.950474783544e-09       1.861781544502e+44       1.828835965191e+33       9.992523306542e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.287922551705e+44       3.149704096326e+44       3.149704096326e+44       1.049901365402e+44      -8.217807375535e+52       1.081445138397e-06       1.023975439688e+01 
       9.006539160943e+13       9.317940710246e-26       5.145921022631e-09       1.750152676602e+22       1.416504567932e+04       1.572751245089e-10       1.275780386273e+18       2.971128107029e-09       1.810551317112e+44       1.790961880015e+33       9.785584200989e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.252483074190e+44       3.063034391418e+44       3.063034391418e+44       1.021011463767e+44      -7.936126915001e+52       1.158691219711e-06       9.557104103757e+00 
       8.943931639467e+13       9.448848459284e-26       5.182300810702e-09       1.725905431200e+22       1.416504567932e+04       1.583760503805e-10       1.266912002258e+18       2.991926003778e-09       1.760730780460e+44       1.753872144203e+33       9.582930678975e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.218018776871e+44       2.978749557444e+44       2.978749557444e+44       9.929165191103e+43      -7.664101570268e+52       1.235937301026e-06       8.959785097272e+00 
       8.881759324197e+13       9.581595331288e-26       5.218680598773e-09       1.701994115866e+22       1.416504567932e+04       1.594846827332e-10       1.258105265400e+18       3.012869485804e-09       1.712281144399e+44       1.717550514356e+33       9.384473988662e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.184502825932e+44       2.896783970443e+44       2.896783970443e+44       9.655946567772e+43      -7.401400394487e+52       1.313183382340e-06       8.432738915079e+00 
       8.820019189868e+13       9.716207164097e-26       5.255060386844e-09       1.678414076505e+22       1.416504567932e+04       1.606010755123e-10       1.249359747170e+18       3.033959572205e-09       1.665164686165e+44       1.681981083465e+33       9.190127216208e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.151909125938e+44       2.817073812212e+44       2.817073812212e+44       9.390246040343e+43      -7.147703784620e+52       1.390429463654e-06       7.964253419797e+00 
       8.758708232243e+13       9.852710158545e-26       5.291440174915e-09       1.655160723501e+22       1.416504567932e+04       1.617252830409e-10       1.240675022015e+18       3.055197289210e-09       1.619344721000e+44       1.647148273944e+33       8.999805247701e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.120212299515e+44       2.739557020621e+44       2.739557020621e+44       9.131856735048e+43      -6.902703092610e+52       1.467675544968e-06       7.545082187175e+00 
       8.697823467967e+13       9.991130883562e-26       5.329638952389e-09       1.632229530823e+22       1.416504567932e+04       1.628573600222e-10       1.232050667344e+18       3.076583670235e-09       1.574785573594e+44       1.613036830811e+33       8.813424731891e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.089387667592e+44       2.664173241290e+44       2.664173241290e+44       8.880577470620e+43      -6.666100249880e+52       1.544921626282e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149628135e-25       5.366018740460e-09       1.609616035145e+22       1.416504567932e+04       1.639973615423e-10       1.223486263500e+18       3.098119755926e-09       1.531452550306e+44       1.579631815005e+33       8.630904043679e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.059411230189e+44       2.590863780597e+44       2.590863780597e+44       8.636212601650e+43      -6.437607404703e+52       1.622167707596e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383367260e-25       5.404217517935e-09       1.587315834980e+22       1.416504567932e+04       1.651453430731e-10       1.214981393743e+18       3.119806594217e-09       1.489311912151e+44       1.546918596845e+33       8.452163248374e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.030259647727e+44       2.519571559978e+44       2.519571559978e+44       8.398571866260e+43      -6.216946571998e+52       1.699413788910e-06       6.516207343469e+00 
       8.517696811915e+13       1.041817076187e-25       5.440597306006e-09       1.565324589818e+22       1.416504567932e+04       1.663013604746e-10       1.206535644234e+18       3.141645240377e-09       1.448330848536e+44       1.514882849619e+33       8.277124066682e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       1.001910222855e+44       2.450241071488e+44       2.450241071488e+44       8.167470237968e+43      -6.003849295134e+52       1.776659870224e-06       6.232893980709e+00 
       8.458487400115e+13       1.056453564290e-25       5.478796083480e-09       1.543638019285e+22       1.416504567932e+04       1.674654699979e-10       1.198148604006e+18       3.163636757059e-09       1.408477451704e+44       1.483510543315e+33       8.105709840428e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       9.743408827823e+43       2.382818334582e+44       2.382818334582e+44       7.942727781622e+43      -5.798056319326e+52       1.853905951538e-06       5.973190064846e+00 
       8.399689573103e+13       1.071295680415e-25       5.518813850358e-09       1.522251902310e+22       1.416504567932e+04       1.686377282879e-10       1.189819864951e+18       3.185782214359e-09       1.369720691902e+44       1.452787938474e+33       7.937845498980e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       9.475301620897e+43       2.317250854086e+44       2.317250854086e+44       7.724169513306e+43      -5.599317276221e+52       1.931152032852e-06       5.734262462252e+00 
       8.341300469814e+13       1.086346313429e-25       5.557012627833e-09       1.501162076300e+22       1.416504567932e+04       1.698181923859e-10       1.181549021798e+18       3.208082689859e-09       1.332030393213e+44       1.422701580172e+33       7.773457526374e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       9.214571860169e+43       2.253487579321e+44       2.253487579321e+44       7.511625264098e+43      -5.407390379305e+52       2.008398114166e-06       5.513713906012e+00 
       8.283317249071e+13       1.101608392786e-25       5.595211405307e-09       1.480364436334e+22       1.416504567932e+04       1.710069197326e-10       1.173335672094e+18       3.230539268688e-09       1.295377210063e+44       1.393238292127e+33       7.612473929117e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       8.961016542097e+43       2.191478864363e+44       2.191478864363e+44       7.304929547577e+43      -5.222042129738e+52       2.085644195479e-06       5.309502279863e+00 
       8.225737089444e+13       1.117084889096e-25       5.635229172185e-09       1.459854934362e+22       1.416504567932e+04       1.722039681708e-10       1.165179416180e+18       3.253153043568e-09       1.259732604377e+44       1.364385170934e+33       7.454824204656e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       8.714438249143e+43       2.131176429380e+44       2.131176429380e+44       7.103921430972e+43      -5.043047032285e+52       2.162890276793e-06       5.119877198439e+00 
       8.168557189121e+13       1.132778814703e-25       5.673427949660e-09       1.439629578415e+22       1.416504567932e+04       1.734093959480e-10       1.157079857180e+18       3.275925114873e-09       1.225068823353e+44       1.336129580404e+33       7.300439310506e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       8.474644996064e+43       2.072533323046e+44       2.072533323046e+44       6.908444409866e+43      -4.870187320974e+52       2.240136358107e-06       4.943329708838e+00 
       8.111774765760e+13       1.148693224271e-25       5.713445716538e-09       1.419684431832e+22       1.416504567932e+04       1.746232617196e-10       1.149036600973e+18       3.298856590677e-09       1.191358877859e+44       1.308459146041e+33       7.149251634008e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       8.241450080431e+43       2.015503885986e+44       2.015503885986e+44       6.718346286339e+43      -4.703252694160e+52       2.317382439421e-06       4.778552051877e+00 
       8.055387056366e+13       1.164831215379e-25       5.753463483416e-09       1.400015612492e+22       1.416504567932e+04       1.758456245516e-10       1.141049256180e+18       3.321948586812e-09       1.158576521413e+44       1.281361749615e+33       7.001194962722e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       8.014671937265e+43       1.960043715222e+44       1.960043715222e+44       6.533479050465e+43      -4.542040058678e+52       2.394628520735e-06       4.624405211493e+00 
       7.999391317146e+13       1.181195929123e-25       5.793481250294e-09       1.380619292058e+22       1.416504567932e+04       1.770765439235e-10       1.133117434141e+18       3.345202226919e-09       1.126696229756e+44       1.254825523857e+33       6.856204455425e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       7.794133997669e+43       1.906109629604e+44       1.906109629604e+44       6.353698765076e+43      -4.386353282750e+52       2.471874602049e-06       4.479892548634e+00 
       7.943784823382e+13       1.197790550732e-25       5.835318006575e-09       1.361491695232e+22       1.416504567932e+04       1.783160797310e-10       1.125240748899e+18       3.368618642508e-09       1.095693180972e+44       1.228838847262e+33       6.714216613718e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       7.579664551354e+43       1.853659636186e+44       1.853659636186e+44       6.178865453690e+43      -4.236002957379e+52       2.549120683363e-06       4.344138228979e+00 
       7.888564869297e+13       1.214618310179e-25       5.875335773453e-09       1.342629099020e+22       1.416504567932e+04       1.795642922891e-10       1.117418817179e+18       3.392198973005e-09       1.065543236164e+44       1.203390339001e+33       6.575169254216e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       7.371096612945e+43       1.802652897536e+44       1.802652897536e+44       6.008842991528e+43      -4.090806165907e+52       2.626366764677e-06       4.216369457538e+00 
       7.833728767921e+13       1.231682482819e-25       5.917172529735e-09       1.324027832009e+22       1.416504567932e+04       1.808212423351e-10       1.109651258370e+18       3.415944365816e-09       1.036222920661e+44       1.178468853932e+33       6.439001481313e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       7.168267791965e+43       1.753049699934e+44       1.753049699934e+44       5.843498999525e+43      -3.950586261484e+52       2.703612845991e-06       4.095901758751e+00 
       7.779273850965e+13       1.248986390020e-25       5.957190296613e-09       1.305684273648e+22       1.416504567932e+04       1.820869910315e-10       1.101937694508e+18       3.439855976376e-09       1.007709405738e+44       1.154063477724e+33       6.305653660515e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       6.971020166400e+43       1.704811422453e+44       1.704811422453e+44       5.682704741260e+43      -3.815172652152e+52       2.780858927305e-06       3.982126709897e+00 
       7.725197468684e+13       1.266533399813e-25       5.999027052894e-09       1.287594853551e+22       1.416504567932e+04       1.833615999687e-10       1.094277750257e+18       3.463934968211e-09       9.799804908440e+43       1.130163522077e+33       6.175067392322e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       6.779200159740e+43       1.657900506891e+44       1.657900506891e+44       5.526335022727e+43      -3.684400593309e+52       2.858105008619e-06       3.874501663683e+00 
       7.671496989756e+13       1.284326927547e-25       6.040863809176e-09       1.269756050794e+22       1.416504567932e+04       1.846451311685e-10       1.086671052886e+18       3.488182512988e-09       9.530145863146e+43       1.106758520036e+33       6.047185486651e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       6.592658421409e+43       1.612280428527e+44       1.612280428527e+44       5.374268094852e+43      -3.558110987275e+52       2.935351089933e-06       3.772541093587e+00 
       7.618169801148e+13       1.302370436552e-25       6.084519554861e-09       1.252164393233e+22       1.416504567932e+04       1.859376470866e-10       1.079117232261e+18       3.512599790579e-09       9.267906965640e+43       1.083838221411e+33       5.921951937793e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       6.411249710473e+43       1.567915667681e+44       1.567915667681e+44       5.226385558704e+43      -3.436150189738e+52       3.012597171247e-06       3.675809270674e+00 
       7.565213307992e+13       1.320667438815e-25       6.126356311142e-09       1.234816456831e+22       1.416504567932e+04       1.872392106162e-10       1.071615920815e+18       3.537187989113e-09       9.012884037369e+43       1.061392588289e+33       5.799311899882e+33       2.985121549152e-08       5.077926941589e-09      -1.000000000000e+00       6.234832782562e+43       1.524771682062e+44       1.524771682062e+44       5.082572273311e+43      -3.318369822825e+52       3.089843252561e-06       3.583914038907e+00 
