# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.056424962305e-09       5.961993572207e-14       5.423082140065e-12       0.000000000000e+00       1.061023074311e-08       3.942766521832e-10      -6.212251272690e-12 
    3       1.018294929689e-09       1.037491149954e-13       6.322510012050e-12       0.000000000000e+00       6.609677396828e-09       3.164162680770e-10      -5.506556240960e-12 
    4       9.812371850338e-10       1.275406211727e-13       6.339503396298e-12       0.000000000000e+00       4.590331816945e-09       2.550823249681e-10      -4.489434224178e-12 
    5       9.488411028453e-10       1.265635060688e-13       5.871822304667e-12       0.000000000000e+00       3.416093778043e-09       2.092619779452e-10      -3.452133396140e-12 
    6       9.213576098377e-10       1.066291957560e-13       5.166661266458e-12       0.000000000000e+00       2.660224205868e-09       1.745872825962e-10      -2.492501441543e-12 
    7       8.980342282042e-10       7.816498740043e-14       4.389621426449e-12       0.000000000000e+00       2.138760878585e-09       1.476870347022e-10      -1.663287892284e-12 
    8       8.779446079896e-10       5.059964127562e-14       3.635515003926e-12       0.000000000000e+00       1.761359707356e-09       1.263694778240e-10      -9.892669944742e-13 
    9       8.604694408713e-10       2.952098965669e-14       2.954814500567e-12       0.000000000000e+00       1.478743997664e-09       1.091948822806e-10      -4.766658905587e-13 
   10       8.450501216862e-10       1.636697437568e-14       2.370080930319e-12       0.000000000000e+00       1.261256328306e-09       9.522273187282e-11      -1.177224051575e-13 
   11       8.312431432544e-10       9.717858568086e-15       1.887800438859e-12       0.000000000000e+00       1.061269264029e-09       8.451161550357e-11       1.030138456631e-13 
   12       8.187285271661e-10       7.040007342775e-15       1.505738698290e-12       0.000000000000e+00       9.255811989529e-10       7.463274664775e-11       2.153694159097e-13 
   13       8.071448227750e-10       6.054912256239e-15       1.216522662392e-12       0.000000000000e+00       8.143915350905e-10       6.662536071789e-11       2.447425632703e-13 
   14       7.963084015969e-10       5.387811041135e-15       1.009013720860e-12       0.000000000000e+00       7.220316658081e-10       5.954364882295e-11       2.169191016015e-13 
   15       7.862916879355e-10       4.566267350657e-15       8.692914754088e-13       0.000000000000e+00       6.444129563378e-10       5.374616113424e-11       1.571648207734e-13 
   16       7.769307117413e-10       3.666462759829e-15       7.825992084176e-13       0.000000000000e+00       5.785194857371e-10       4.888845832121e-11       8.538348231991e-14 
   17       7.680180423133e-10       2.918709076811e-15       7.355020201947e-13       0.000000000000e+00       5.220757066011e-10       4.470585314036e-11       1.665619388039e-14 
   18       7.595365831637e-10       2.464661634716e-15       7.161492847318e-13       0.000000000000e+00       4.731521604726e-10       4.096125000967e-11      -3.895047926761e-14 
   19       7.516201634659e-10       2.276544877420e-15       7.175022899110e-13       0.000000000000e+00       4.309537265080e-10       3.763438127270e-11      -7.705056832796e-14 
   20       7.439551000229e-10       2.247989002658e-15       7.313692182699e-13       0.000000000000e+00       3.938338718322e-10       3.470460779814e-11      -9.609870957947e-14 
   21       7.366377098687e-10       2.292759175693e-15       7.542301683957e-13       0.000000000000e+00       3.611971103843e-10       3.212460858203e-11      -9.808627269686e-14 
   22       7.296216505303e-10       2.330338629371e-15       7.833452582147e-13       0.000000000000e+00       3.322513402406e-10       2.979375237311e-11      -8.758013216289e-14 
   23       7.229261192142e-10       2.374000269703e-15       8.173340588636e-13       0.000000000000e+00       3.065903043704e-10       2.766673795966e-11      -6.919707682456e-14 
   24       7.164159594819e-10       2.469500451684e-15       8.550154909780e-13       0.000000000000e+00       2.836124074558e-10       2.569947196950e-11      -4.829084171357e-14 
   25       7.101622180888e-10       2.645128684923e-15       8.961322685981e-13       0.000000000000e+00       2.630418015571e-10       2.391610247009e-11      -2.855772232470e-14 
   26       7.041587470295e-10       2.918546070353e-15       9.405443635271e-13       0.000000000000e+00       2.445007895333e-10       2.234025320386e-11      -1.321081929334e-14 
   27       6.983776387638e-10       3.276165508928e-15       9.879192258921e-13       0.000000000000e+00       2.277627990928e-10       2.094054451662e-11      -3.556845272852e-15 
   28       6.927059296371e-10       3.693331555144e-15       1.037720282300e-12       0.000000000000e+00       2.125350432652e-10       1.966026250207e-11      -7.934901364986e-18 
   29       6.872144947665e-10       4.162101340473e-15       1.089372141868e-12       0.000000000000e+00       1.987371549445e-10       1.848999396152e-11      -1.815437387903e-15 
   30       6.819301246369e-10       4.677888531884e-15       1.142111376934e-12       0.000000000000e+00       1.862183111828e-10       1.742443235825e-11      -7.461119413444e-15 
   31       6.767894774247e-10       5.235426263840e-15       1.195022255418e-12       0.000000000000e+00       1.747198987134e-10       1.644850100560e-11      -1.504130385790e-14 
   32       6.718305095215e-10       5.834297366458e-15       1.247405834299e-12       0.000000000000e+00       1.641808563500e-10       1.555344909336e-11      -2.310767803569e-14 
   33       6.670506610574e-10       6.475395709012e-15       1.298527364792e-12       0.000000000000e+00       1.545251799888e-10       1.472480394333e-11      -3.008681350295e-14 
   34       6.623887138565e-10       7.159405268423e-15       1.347649825017e-12       0.000000000000e+00       1.456159555063e-10       1.394393843508e-11      -3.442488130247e-14 
   35       6.578742492836e-10       7.886510182342e-15       1.394517013618e-12       0.000000000000e+00       1.374064593939e-10       1.321162605072e-11      -3.593569699441e-14 
   36       6.535163148706e-10       8.656558058062e-15       1.439039737030e-12       0.000000000000e+00       1.298296908781e-10       1.253181058030e-11      -3.492885477720e-14 
   37       6.492848318516e-10       9.470013392813e-15       1.481200038520e-12       0.000000000000e+00       1.227857122353e-10       1.190526566922e-11      -3.186845141849e-14 
   38       6.452066412388e-10       1.033102571361e-14       1.521146774151e-12       0.000000000000e+00       1.162556227988e-10       1.133038500711e-11      -2.737802550528e-14 
   39       6.412916158076e-10       1.124543035544e-14       1.559140306594e-12       0.000000000000e+00       1.102180849594e-10       1.080205355911e-11      -2.225813596622e-14 
   40       6.375007946427e-10       1.222000233416e-14       1.595534510184e-12       0.000000000000e+00       1.046146765721e-10       1.031099333113e-11      -1.750081506097e-14 
   41       6.337740089686e-10       1.326108852409e-14       1.630683201721e-12       0.000000000000e+00       9.937009591880e-11       9.846705259124e-12      -1.406345504138e-14 
   42       6.301351354060e-10       1.436982834521e-14       1.664608598382e-12       0.000000000000e+00       9.446845171798e-11       9.408277549528e-12      -1.207248526142e-14 
   43       6.266130123809e-10       1.554547549683e-14       1.697234874498e-12       0.000000000000e+00       8.989637158674e-11       8.996514064881e-12      -1.138108916894e-14 
   44       6.232094308899e-10       1.678665091581e-14       1.728477408239e-12       0.000000000000e+00       8.562012126004e-11       8.610833035556e-12      -1.178113824592e-14 
   45       6.199110053266e-10       1.809180203989e-14       1.758227386209e-12       0.000000000000e+00       8.159755999327e-11       8.249700866473e-12      -1.300959549749e-14 
   46       6.167351023109e-10       1.946083817631e-14       1.786302374267e-12       0.000000000000e+00       7.782208313677e-11       7.912370076398e-12      -1.477985003685e-14 
   47       6.136932508040e-10       2.089391629968e-14       1.812479348346e-12       0.000000000000e+00       7.428906338762e-11       7.597457470565e-12      -1.675264642660e-14 
   48       6.107761772400e-10       2.239097361394e-14       1.836506115644e-12       0.000000000000e+00       7.098260219016e-11       7.302350367954e-12      -1.852284393659e-14 
   49       6.079520559446e-10       2.395171647017e-14       1.858099529927e-12       0.000000000000e+00       6.787469289377e-11       7.023118861963e-12      -1.961584963971e-14 
   50       6.051827949292e-10       2.557592752403e-14       1.877010089126e-12       0.000000000000e+00       6.493360622233e-11       6.755644737510e-12      -1.962252677912e-14 
   51       6.024821637555e-10       2.726451120926e-14       1.893240539822e-12       0.000000000000e+00       6.215367150648e-11       6.499573031068e-12      -1.865536576510e-14 
   52       5.998704195642e-10       2.901871288984e-14       1.906883525525e-12       0.000000000000e+00       5.953213269729e-11       6.255281414122e-12      -1.700997002615e-14 
   53       5.973567712361e-10       3.083982922454e-14       1.918061697953e-12       0.000000000000e+00       5.706023928894e-11       6.022727521620e-12      -1.504028251417e-14 
   54       5.949384785343e-10       3.272921206066e-14       1.926929056216e-12       0.000000000000e+00       5.472284346779e-11       5.801418467066e-12      -1.316153528363e-14 
   55       5.926073903923e-10       3.468812115353e-14       1.933630203640e-12       0.000000000000e+00       5.250299142965e-11       5.590662095583e-12      -1.175751074048e-14 
   56       5.903735256097e-10       3.671723055955e-14       1.938163197758e-12       0.000000000000e+00       5.039795588272e-11       5.390463673076e-12      -1.086858962534e-14 
   57       5.882457721849e-10       3.881700644079e-14       1.940484974986e-12       0.000000000000e+00       4.840648073740e-11       5.200798557199e-12      -1.043137387183e-14 
   58       5.862243636848e-10       4.098784554324e-14       1.940550154031e-12       0.000000000000e+00       4.652393214821e-11       5.021330892463e-12      -1.036682365372e-14 
   59       5.843002682244e-10       4.323007320061e-14       1.938310735494e-12       0.000000000000e+00       4.474209024085e-11       4.851394102133e-12      -1.057947884736e-14 
   60       5.824545774460e-10       4.554394133822e-14       1.933715801475e-12       0.000000000000e+00       4.304894083909e-11       4.689971380122e-12      -1.095668049400e-14 
   61       5.806671216369e-10       4.792953670888e-14       1.926714754578e-12       0.000000000000e+00       4.143199464829e-11       4.535973880197e-12      -1.138938801331e-14 
   62       5.789459570968e-10       5.038648604697e-14       1.917268564057e-12       0.000000000000e+00       3.988958658640e-11       4.389192384339e-12      -1.184185237832e-14 
   63       5.773034433815e-10       5.291418088967e-14       1.905340522425e-12       0.000000000000e+00       3.842175466737e-11       4.249525601230e-12      -1.229627147586e-14 
   64       5.757472892369e-10       5.551185675654e-14       1.890892744440e-12       0.000000000000e+00       3.702684190752e-11       4.116691455393e-12      -1.273248288873e-14 
   65       5.742802343167e-10       5.817858830515e-14       1.873885979014e-12       0.000000000000e+00       3.570139997610e-11       3.990217024801e-12      -1.312787057487e-14 
   66       5.728997309004e-10       6.091328448666e-14       1.854279421128e-12       0.000000000000e+00       3.444009284574e-11       3.869428478481e-12      -1.345727154663e-14 
   67       5.715976256102e-10       6.371468370142e-14       1.832030523732e-12       0.000000000000e+00       3.323560044296e-11       3.753441014120e-12      -1.369288254998e-14 
   68       5.703649054909e-10       6.658158821605e-14       1.807103863637e-12       0.000000000000e+00       3.208056428314e-11       3.641397803429e-12      -1.381250861912e-14 
   69       5.692077644252e-10       6.951363340016e-14       1.779500245689e-12       0.000000000000e+00       3.097409754128e-11       3.533265543086e-12      -1.382645817612e-14 
   70       5.681342353788e-10       7.251066637074e-14       1.749233185064e-12       0.000000000000e+00       2.991642706739e-11       3.429182767488e-12      -1.375595498006e-14 
   71       5.671492287067e-10       7.557252177369e-14       1.716320417774e-12       0.000000000000e+00       2.890692478268e-11       3.329221476179e-12      -1.362539630925e-14 
   72       5.662543433942e-10       7.869902305868e-14       1.680783944130e-12       0.000000000000e+00       2.794406355471e-11       3.233383439934e-12      -1.346247298767e-14 
   73       5.654476782979e-10       8.188998375398e-14       1.642650072213e-12       0.000000000000e+00       2.702537307262e-11       3.141596506850e-12      -1.329828941141e-14 
   74       5.647236433868e-10       8.514520874123e-14       1.601949461344e-12       0.000000000000e+00       2.614739572219e-11       3.053710908442e-12      -1.316748357505e-14 
   75       5.640727709828e-10       8.846449553030e-14       1.558717165548e-12       0.000000000000e+00       2.530564246109e-11       2.969495565726e-12      -1.310834709812e-14 
   76       5.634856123305e-10       9.184735454593e-14       1.512991412158e-12       0.000000000000e+00       2.449570226322e-11       2.888697452410e-12      -1.315288364653e-14 
   77       5.629656648941e-10       9.529210828268e-14       1.464809584387e-12       0.000000000000e+00       2.371690155822e-11       2.811240347452e-12      -1.329462591142e-14 
   78       5.625184704305e-10       9.879662942939e-14       1.414211581729e-12       0.000000000000e+00       2.296923504282e-11       2.737055783288e-12      -1.351514069880e-14 
   79       5.621476355030e-10       1.023586028696e-13       1.361241037079e-12       0.000000000000e+00       2.225225117315e-11       2.666020842004e-12      -1.379348499755e-14 
   80       5.618547264954e-10       1.059755211942e-13       1.305945334268e-12       0.000000000000e+00       2.156503169469e-11       2.597955754467e-12      -1.410611968446e-14 
   81       5.616391646260e-10       1.096446802150e-13       1.248375625592e-12       0.000000000000e+00       2.090617117240e-11       2.532621499450e-12      -1.442682322930e-14 
   82       5.614981209612e-10       1.133631744769e-13       1.188586849345e-12       0.000000000000e+00       2.027375652068e-11       2.469717402757e-12      -1.472660539989e-14 
   83       5.614264114292e-10       1.171278927711e-13       1.126637747347e-12       0.000000000000e+00       1.966534653342e-11       2.408878736356e-12      -1.497362096716e-14 
   84       5.614189112008e-10       1.209358649443e-13       1.062583085383e-12       0.000000000000e+00       1.907856239646e-11       2.349766450398e-12      -1.513993197501e-14 
   85       5.614784876806e-10       1.247853782121e-13       9.964487942818e-13       0.000000000000e+00       1.851301654237e-11       2.292358720176e-12      -1.522327162821e-14 
   86       5.616091962651e-10       1.286750385401e-13       9.282527207338e-13       0.000000000000e+00       1.796866751500e-11       2.236703554315e-12      -1.522874695397e-14 
   87       5.618138161858e-10       1.326034371985e-13       8.580119461384e-13       0.000000000000e+00       1.744522736669e-11       2.182830119315e-12      -1.516233941114e-14 
   88       5.620937878645e-10       1.365691521786e-13       7.857426730902e-13       0.000000000000e+00       1.694215145689e-11       2.130747887127e-12      -1.503093369725e-14 
   89       5.624491502705e-10       1.405707496104e-13       7.114601118671e-13       0.000000000000e+00       1.645862825087e-11       2.080445782737e-12      -1.484234655547e-14 
   90       5.628784782760e-10       1.446067851792e-13       6.351783669173e-13       0.000000000000e+00       1.599356911831e-11       2.031891331737e-12      -1.460535558160e-14 
   91       5.633788200125e-10       1.486758055433e-13       5.569103233471e-13       0.000000000000e+00       1.554559813196e-11       1.985029807914e-12      -1.432972803112e-14 
   92       5.639456342273e-10       1.527763497503e-13       4.766675334088e-13       0.000000000000e+00       1.511304186630e-11       1.939783380821e-12      -1.402624962609e-14 
   93       5.645746403033e-10       1.569068074627e-13       3.944704895267e-13       0.000000000000e+00       1.469432480453e-11       1.896071642122e-12      -1.370515945196e-14 
   94       5.652678226690e-10       1.610649661645e-13       3.103814573349e-13       0.000000000000e+00       1.428924574433e-11       1.853878567509e-12      -1.337112281244e-14 
   95       5.660282178321e-10       1.652483981573e-13       2.244763938354e-13       0.000000000000e+00       1.389787539561e-11       1.813194096681e-12      -1.302755203481e-14 
   96       5.668580462787e-10       1.694545971434e-13       1.368350295240e-13       0.000000000000e+00       1.352016330563e-11       1.773993100470e-12      -1.267813984647e-14 
   97       5.677586760848e-10       1.736809776771e-13       4.754089745288e-14       0.000000000000e+00       1.315593322535e-11       1.736234821883e-12      -1.232686630262e-14 
   98       5.687305865264e-10       1.779248746165e-13      -4.331863770780e-14       0.000000000000e+00       1.280487847586e-11       1.699862317143e-12      -1.197800571392e-14 
   99       5.697733316915e-10       1.821835425748e-13      -1.356523506081e-13       0.000000000000e+00       1.246655731467e-11       1.664801896730e-12      -1.163613357413e-14 
  100       5.708855040902e-10       1.864541553717e-13      -2.293651261566e-13       0.000000000000e+00       1.214038830213e-11       1.630962566427e-12      -1.130613348772e-14 
  101       5.720646982663e-10       1.907338054850e-13      -3.243579304581e-13       0.000000000000e+00       1.182564566775e-11       1.598235468358e-12      -1.099320409761e-14 
  102       5.733074744081e-10       1.950195035022e-13      -4.205277817521e-13       0.000000000000e+00       1.152145467661e-11       1.566493322032e-12      -1.070286601272e-14 
  103       5.746093219595e-10       1.993081775718e-13      -5.177677213512e-13       0.000000000000e+00       1.122678699571e-11       1.535589865384e-12      -1.044096873569e-14 
  104       5.759661200132e-10       2.035968133788e-13      -6.159745016196e-13       0.000000000000e+00       1.094069294801e-11       1.505392845988e-12      -1.021231795642e-14 
  105       5.773788215441e-10       2.078828967879e-13      -7.150728952718e-13       0.000000000000e+00       1.066304398624e-11       1.475889274174e-12      -1.001633132622e-14 
  106       5.788493370539e-10       2.121640302510e-13      -8.149946310138e-13       0.000000000000e+00       1.039388234499e-11       1.447093412205e-12      -9.850806025258e-15 
  107       5.803790745940e-10       2.164377986058e-13      -9.156710248118e-13       0.000000000000e+00       1.013319110343e-11       1.419014305789e-12      -9.713237858700e-15 
  108       5.819689198246e-10       2.207017700722e-13      -1.017033035633e-12       0.000000000000e+00       9.880892154864e-12       1.391655593804e-12      -9.600813023501e-15 
  109       5.836192160739e-10       2.249534972478e-13      -1.119011321188e-12       0.000000000000e+00       9.636844176220e-12       1.365015318023e-12      -9.510399875263e-15 
  110       5.853297443972e-10       2.291905181033e-13      -1.221536293667e-12       0.000000000000e+00       9.400840597616e-12       1.339085732839e-12      -9.438540695062e-15 
  111       5.870997036360e-10       2.334103569787e-13      -1.324538175487e-12       0.000000000000e+00       9.172607571864e-12       1.313853114992e-12      -9.381443456290e-15 
  112       5.889276904773e-10       2.376105255786e-13      -1.427947055029e-12       0.000000000000e+00       8.951801944002e-12       1.289297573289e-12      -9.334973591483e-15 
  113       5.908116795130e-10       2.417885239683e-13      -1.531692942376e-12       0.000000000000e+00       8.738009220820e-12       1.265392858336e-12      -9.294645759163e-15 
  114       5.927490032983e-10       2.459418415690e-13      -1.635705825062e-12       0.000000000000e+00       8.530741540389e-12       1.242106172258e-12      -9.255615610668e-15 
  115       5.947363324117e-10       2.500679581540e-13      -1.739915723802e-12       0.000000000000e+00       8.329435641590e-12       1.219397978428e-12      -9.212671556989e-15 
  116       5.967706075796e-10       2.541643801316e-13      -1.844250495715e-12       0.000000000000e+00       8.133575895177e-12       1.197231604234e-12      -9.161297875775e-15 
  117       5.988520072537e-10       2.582287522703e-13      -1.948628821770e-12       0.000000000000e+00       7.943084707819e-12       1.175603780705e-12      -9.101028269726e-15 
  118       6.009813050687e-10       2.622587614901e-13      -2.052966467447e-12       0.000000000000e+00       7.757975991844e-12       1.154517475906e-12      -9.032486474904e-15 
  119       6.031589386623e-10       2.662521040845e-13      -2.157178494412e-12       0.000000000000e+00       7.578233436166e-12       1.133972331566e-12      -8.956352629043e-15 
  120       6.053849981523e-10       2.702064870278e-13      -2.261179296342e-12       0.000000000000e+00       7.403809581573e-12       1.113964559387e-12      -8.873364510891e-15 
  121       6.076592146137e-10       2.741196292830e-13      -2.364882634747e-12       0.000000000000e+00       7.234624896011e-12       1.094486837365e-12      -8.784318779543e-15 
  122       6.099809485559e-10       2.779892631094e-13      -2.468201674799e-12       0.000000000000e+00       7.070566849877e-12       1.075528206093e-12      -8.690072213786e-15 
  123       6.123491783994e-10       2.818131353704e-13      -2.571049021152e-12       0.000000000000e+00       6.911488991302e-12       1.057073965083e-12      -8.591542951435e-15 
  124       6.147624889532e-10       2.855890088414e-13      -2.673336753770e-12       0.000000000000e+00       6.757210021443e-12       1.039105569069e-12      -8.489711728671e-15 
  125       6.172190598919e-10       2.893146635172e-13      -2.774976463748e-12       0.000000000000e+00       6.607512869767e-12       1.021600524329e-12      -8.385623119383e-15 
  126       6.197166542324e-10       2.929878979196e-13      -2.875879289141e-12       0.000000000000e+00       6.462143769341e-12       1.004532284990e-12      -8.280386774505e-15 
  127       6.222526068115e-10       2.966065304056e-13      -2.975955950786e-12       0.000000000000e+00       6.320811332120e-12       9.878701493463e-13      -8.175178661355e-15 
  128       6.248238127625e-10       3.001684004749e-13      -3.075116788125e-12       0.000000000000e+00       6.183185624231e-12       9.715791561689e-13      -8.071242302975e-15 
  129       6.274274276205e-10       3.036714391618e-13      -3.173273232136e-12       0.000000000000e+00       6.048968820406e-12       9.556278242607e-13      -7.969651615355e-15 
  130       6.300630789466e-10       3.071138861645e-13      -3.270342330707e-12       0.000000000000e+00       5.918117894710e-12       9.400125513001e-13      -7.870567371179e-15 
  131       6.327308766749e-10       3.104940991176e-13      -3.366242789714e-12       0.000000000000e+00       5.790644725461e-12       9.247357080929e-13      -7.773901131644e-15 
  132       6.354307168654e-10       3.138104884271e-13      -3.460893626068e-12       0.000000000000e+00       5.666546297473e-12       9.097979881610e-13      -7.679545874978e-15 
  133       6.381622752730e-10       3.170615190723e-13      -3.554214213828e-12       0.000000000000e+00       5.545804289540e-12       8.951983601792e-13      -7.587375529859e-15 
  134       6.409250009168e-10       3.202457124083e-13      -3.646124330304e-12       0.000000000000e+00       5.428384661912e-12       8.809340204107e-13      -7.497244508836e-15 
  135       6.437181096495e-10       3.233616479673e-13      -3.736544202169e-12       0.000000000000e+00       5.314237243785e-12       8.670003451432e-13      -7.408987241750e-15 
  136       6.465405777262e-10       3.264079652614e-13      -3.825394551564e-12       0.000000000000e+00       5.203295320775e-12       8.533908431252e-13      -7.322417709154e-15 
  137       6.493911353740e-10       3.293833655845e-13      -3.912596642208e-12       0.000000000000e+00       5.095475222405e-12       8.400971080017e-13      -7.237328975734e-15 
  138       6.522682603612e-10       3.322866138138e-13      -3.998072325505e-12       0.000000000000e+00       4.990675909587e-12       8.271087707506e-13      -7.153492723730e-15 
  139       6.551701715663e-10       3.351165402126e-13      -4.081744086651e-12       0.000000000000e+00       4.888778562100e-12       8.144134521183e-13      -7.070658786352e-15 
  140       6.580948225475e-10       3.378720422318e-13      -4.163535090744e-12       0.000000000000e+00       4.789646166078e-12       8.019967150559e-13      -6.988554681207e-15 
  141       6.610398951115e-10       3.405520863125e-13      -4.243369228889e-12       0.000000000000e+00       4.693123101485e-12       7.898420171554e-13      -6.906885143715e-15 
  142       6.640027928833e-10       3.431557096875e-13      -4.321171164311e-12       0.000000000000e+00       4.599034729602e-12       7.779306630856e-13      -6.825331660533e-15 
