# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.056425571957e-09       5.962022961054e-14       5.423082117391e-12       2.938884472768e-19       1.061023074311e-08       3.942766521832e-10      -6.212251272690e-12 
    3       1.018296137888e-09       1.037497049608e-13       6.322509911763e-12       5.899652625610e-19       6.609677396828e-09       3.164162680770e-10      -5.506556240960e-12 
    4       9.812391744714e-10       1.275416092124e-13       6.339503111035e-12       9.880388578459e-19       4.590331816945e-09       2.550823249681e-10      -4.489434224178e-12 
    5       9.488440426403e-10       1.265649968259e-13       5.871821662984e-12       1.490753986525e-18       3.416093778043e-09       2.092619779452e-10      -3.452133396140e-12 
    6       9.213616531632e-10       1.066312969559e-13       5.166660023755e-12       2.101191566356e-18       2.660224205868e-09       1.745872825962e-10      -2.492501441543e-12 
    7       8.980395105309e-10       7.816781015277e-14       4.389619259940e-12       2.822733108095e-18       2.138760878585e-09       1.476870347022e-10      -1.663287892284e-12 
    8       8.779512460128e-10       5.060330022680e-14       3.635511511958e-12       3.658911674843e-18       1.761359707356e-09       1.263694778240e-10      -9.892669944742e-13 
    9       8.604775321555e-10       2.952560298642e-14       2.954809206340e-12       4.613255837645e-18       1.478743997664e-09       1.091948822806e-10      -4.766658905587e-13 
   10       8.450597450369e-10       1.637266363718e-14       2.370073289819e-12       5.689133414980e-18       1.261256328306e-09       9.522273187282e-11      -1.177224051575e-13 
   11       8.312543597933e-10       9.724748378158e-15       1.887789852560e-12       6.889601817450e-18       1.061269264029e-09       8.451161550357e-11       1.030138456631e-13 
   12       8.187413820598e-10       7.048224934710e-15       1.505724525960e-12       8.217271561938e-18       9.255811989529e-10       7.463274664775e-11       2.153694159097e-13 
