# dimensionless [l(l+1)/2pi] C_l's for scalar CDM isocurvature (CDI) mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       9.068811738173e-10       5.231090955014e-14       4.941565020142e-12       0.000000000000e+00       1.981327126019e-09      -9.120055447379e-11      -3.696397121232e-12 
    3       8.773583355881e-10       9.136119848008e-14       5.715638042862e-12       0.000000000000e+00       1.198385667302e-09      -3.054109494514e-11      -3.295049209973e-12 
    4       8.487749073975e-10       1.130754948151e-13       5.711705744258e-12       0.000000000000e+00       8.137432545516e-10      -8.896191262495e-12      -2.725318157206e-12 
    5       8.230906272524e-10       1.131849708713e-13       5.283867140004e-12       0.000000000000e+00       5.941095359941e-10      -1.196013751817e-13      -2.142604109759e-12 
    6       8.005522197696e-10       9.630608827737e-14       4.649262182350e-12       0.000000000000e+00       4.550119150405e-10       3.644392428709e-12      -1.597654549039e-12 
    7       7.807044722353e-10       7.132338703470e-14       3.953087840281e-12       0.000000000000e+00       3.605272344544e-10       5.120639173182e-12      -1.118901836493e-12 
    8       7.629409004634e-10       4.655726712940e-14       3.277852652807e-12       0.000000000000e+00       2.930081568064e-10       5.483933647684e-12      -7.203335348168e-13 
    9       7.468865426813e-10       2.718463245929e-14       2.666755449896e-12       0.000000000000e+00       2.429054155738e-10       5.313913502403e-12      -4.065660234732e-13 
   10       7.321974357557e-10       1.479532084200e-14       2.138300962189e-12       0.000000000000e+00       2.046329051375e-10       4.929771525494e-12      -1.751783812410e-13 
   11       7.185703311321e-10       8.371952660426e-15       1.697243024852e-12       0.000000000000e+00       1.725793742165e-10       5.005384643558e-12      -2.031534316894e-14 
   12       7.057938800704e-10       5.751694921668e-15       1.341675042112e-12       0.000000000000e+00       1.490533465695e-10       4.348460325211e-12       7.320933072687e-14 
   13       6.936266743820e-10       4.854237459077e-15       1.065992626452e-12       0.000000000000e+00       1.299351996821e-10       3.878888293248e-12       1.170096288501e-13 
   14       6.819835545745e-10       4.333020242493e-15       8.616090501265e-13       0.000000000000e+00       1.141809610926e-10       3.334342724625e-12       1.241237731758e-13 
   15       6.709305369395e-10       3.655727616649e-15       7.176184566969e-13       0.000000000000e+00       1.010435589799e-10       2.998453213598e-12       1.075717070270e-13 
   16       6.603425423592e-10       2.837066827726e-15       6.223077375695e-13       0.000000000000e+00       8.997395298028e-11       2.769628390109e-12       7.815102594231e-14 
   17       6.500951707640e-10       2.089935923638e-15       5.647213272023e-13       0.000000000000e+00       8.056014706792e-11       2.583501068740e-12       4.458540126590e-14 
   18       6.401672565806e-10       1.583495198817e-15       5.348752154765e-13       0.000000000000e+00       7.245755776673e-11       2.388525946977e-12       1.338373689400e-14 
   19       6.306846959733e-10       1.322652212757e-15       5.267103654386e-13       0.000000000000e+00       6.551619427117e-11       2.194008242660e-12      -1.194811142281e-14 
   20       6.213896837600e-10       1.234516186778e-15       5.327782201013e-13       0.000000000000e+00       5.945010968641e-11       2.032510826967e-12      -2.902911996054e-14 
   21       6.123666156161e-10       1.229925010154e-15       5.494793210352e-13       0.000000000000e+00       5.415127090515e-11       1.900945064844e-12      -3.770109025669e-14 
   22       6.035694502276e-10       1.210248840316e-15       5.736210202491e-13       0.000000000000e+00       4.948065641199e-11       1.780058876815e-12      -3.917167029668e-14 
   23       5.950281732353e-10       1.169364569294e-15       6.033750288931e-13       0.000000000000e+00       4.536548935504e-11       1.655613673019e-12      -3.511945808335e-14 
   24       5.866397071234e-10       1.134429235279e-15       6.370399495450e-13       0.000000000000e+00       4.170216393360e-11       1.517102767942e-12      -2.781390274347e-14 
   25       5.784582298906e-10       1.133322337497e-15       6.738637611051e-13       0.000000000000e+00       3.844172485236e-11       1.379313018123e-12      -1.911011754701e-14 
   26       5.704652703514e-10       1.190720674573e-15       7.132611310792e-13       0.000000000000e+00       3.551942646442e-11       1.263487425620e-12      -1.087893934086e-14 
   27       5.626517714625e-10       1.299453514859e-15       7.548793066672e-13       0.000000000000e+00       3.289594283721e-11       1.171138259847e-12      -4.218936723663e-15 
   28       5.549403975953e-10       1.441274279162e-15       7.983658750170e-13       0.000000000000e+00       3.052177048607e-11       1.096345202757e-12       8.731904546515e-17 
   29       5.473922858155e-10       1.608723493600e-15       8.434493456937e-13       0.000000000000e+00       2.838210224857e-11       1.034175448420e-12       1.985726126300e-15 
   30       5.400199817659e-10       1.795970682459e-15       8.898019319412e-13       0.000000000000e+00       2.645120564348e-11       9.781426009162e-13       1.765509301158e-15 
   31       5.327562849499e-10       1.997124428585e-15       9.370216784398e-13       0.000000000000e+00       2.468632804987e-11       9.213166472718e-13      -1.126318602194e-16 
   32       5.256362649962e-10       2.213879813673e-15       9.847818513567e-13       0.000000000000e+00       2.307659677057e-11       8.642114356986e-13      -3.078403868494e-15 
   33       5.186640648505e-10       2.450756449219e-15       1.032726468276e-12       0.000000000000e+00       2.160907773744e-11       8.097939877487e-13      -6.385804545931e-15 
   34       5.117913425644e-10       2.711587808182e-15       1.080486163652e-12       0.000000000000e+00       2.026135604050e-11       7.608153236326e-13      -9.239489073610e-15 
   35       5.050410464834e-10       2.993965242297e-15       1.127886270695e-12       0.000000000000e+00       1.902534952953e-11       7.175459899041e-13      -1.134369423837e-14 
   36       4.984144342954e-10       3.292758809017e-15       1.174809898465e-12       0.000000000000e+00       1.788994207430e-11       6.792010530873e-13      -1.253886611100e-14 
   37       4.918790229956e-10       3.603264901797e-15       1.221167086531e-12       0.000000000000e+00       1.683896003679e-11       6.447385900487e-13      -1.271614111437e-14 
   38       4.854611840745e-10       3.927307618522e-15       1.266975212015e-12       0.000000000000e+00       1.586895086882e-11       6.137038474753e-13      -1.201957171061e-14 
   39       4.791757977235e-10       4.269162291747e-15       1.312308227917e-12       0.000000000000e+00       1.497618818759e-11       5.856130266793e-13      -1.071642791685e-14 
   40       4.729962002932e-10       4.633995870176e-15       1.357278337805e-12       0.000000000000e+00       1.415128675571e-11       5.596982006719e-13      -9.149579489128e-15 
   41       4.668761704867e-10       5.026794557293e-15       1.402010954605e-12       0.000000000000e+00       1.338231556643e-11       5.351354636576e-13      -7.673903560802e-15 
   42       4.608343867959e-10       5.448588756699e-15       1.446553765481e-12       0.000000000000e+00       1.266653020502e-11       5.118732133165e-13      -6.428385267525e-15 
   43       4.548905385006e-10       5.899095929095e-15       1.490942270738e-12       0.000000000000e+00       1.200163757043e-11       4.900353364224e-13      -5.498387650572e-15 
   44       4.490393201044e-10       6.377724498210e-15       1.535225363731e-12       0.000000000000e+00       1.138228744663e-11       4.696883233801e-13      -4.978283487859e-15 
   45       4.432626431001e-10       6.883749612003e-15       1.579439799311e-12       0.000000000000e+00       1.080188285512e-11       4.508318368498e-13      -4.936666726487e-15 
   46       4.375760979419e-10       7.416951063027e-15       1.623523094872e-12       0.000000000000e+00       1.025922400789e-11       4.333798546356e-13      -5.298774138637e-15 
   47       4.319924316164e-10       7.977131449051e-15       1.667375602279e-12       0.000000000000e+00       9.753440989795e-12       4.171646500697e-13      -5.929497301741e-15 
   48       4.265067722676e-10       8.563927780113e-15       1.710883487778e-12       0.000000000000e+00       9.281995519575e-12       4.019347875576e-13      -6.663827485030e-15 
   49       4.210951436896e-10       9.176802413950e-15       1.753917822348e-12       0.000000000000e+00       8.840558258709e-12       3.873494607220e-13      -7.305176201107e-15 
   50       4.157275367435e-10       9.815341331331e-15       1.796356620058e-12       0.000000000000e+00       8.424261395481e-12       3.730669316879e-13      -7.672082076162e-15 
   51       4.104147528391e-10       1.048026543996e-14       1.838160115797e-12       0.000000000000e+00       8.032141867323e-12       3.590512850154e-13      -7.757173979465e-15 
   52       4.051717077960e-10       1.117267810893e-14       1.879314348452e-12       0.000000000000e+00       7.663692121879e-12       3.453391517886e-13      -7.608453608877e-15 
   53       4.000032047455e-10       1.189378709134e-14       1.919810164995e-12       0.000000000000e+00       7.317533655687e-12       3.319516815846e-13      -7.285263782340e-15 
   54       3.949031336554e-10       1.264490992277e-14       1.959643390740e-12       0.000000000000e+00       6.991359041918e-12       3.188933089065e-13      -6.858885992667e-15 
   55       3.898609676115e-10       1.342731104927e-14       1.998812579563e-12       0.000000000000e+00       6.682604429644e-12       3.061730217831e-13      -6.400345615327e-15 
   56       3.848849753087e-10       1.424165346285e-14       2.037311220009e-12       0.000000000000e+00       6.390795486958e-12       2.938771807900e-13      -5.938911012101e-15 
   57       3.799833729449e-10       1.508842029632e-14       2.075133891230e-12       0.000000000000e+00       6.115682697526e-12       2.821126291474e-13      -5.494331377995e-15 
   58       3.751570277358e-10       1.596807002626e-14       2.112278587706e-12       0.000000000000e+00       5.856533078935e-12       2.709854263785e-13      -5.088822807572e-15 
   59       3.703989417278e-10       1.688103531552e-14       2.148746795216e-12       0.000000000000e+00       5.612100670367e-12       2.606004914512e-13      -4.747167446627e-15 
   60       3.656937356124e-10       1.782772185572e-14       2.184543566804e-12       0.000000000000e+00       5.380597020270e-12       2.510612459180e-13      -4.496812643856e-15 
   61       3.610247744019e-10       1.880847334959e-14       2.219669294390e-12       0.000000000000e+00       5.160170295711e-12       2.424443123507e-13      -4.359741016121e-15 
   62       3.563985812552e-10       1.982345989195e-14       2.254092693463e-12       0.000000000000e+00       4.950535044073e-12       2.347177804892e-13      -4.325723892009e-15 
   63       3.518250125546e-10       2.087276236660e-14       2.287771861723e-12       0.000000000000e+00       4.751657543539e-12       2.278038783063e-13      -4.373212940944e-15 
   64       3.473098313089e-10       2.195640190795e-14       2.320661864547e-12       0.000000000000e+00       4.563266352599e-12       2.216011722343e-13      -4.476880751486e-15 
   65       3.428544334375e-10       2.307433766918e-14       2.352714547463e-12       0.000000000000e+00       4.384838935896e-12       2.159834188284e-13      -4.607458880312e-15 
   66       3.384555740546e-10       2.422646459036e-14       2.383878348630e-12       0.000000000000e+00       4.215588290081e-12       2.107984164310e-13      -4.731575901193e-15 
   67       3.341050937528e-10       2.541261116657e-14       2.414098111319e-12       0.000000000000e+00       4.054449569665e-12       2.058668568358e-13      -4.811595453980e-15 
   68       3.297941980191e-10       2.663265584811e-14       2.443323898751e-12       0.000000000000e+00       3.900354910709e-12       2.010232807246e-13      -4.814886726583e-15 
   69       3.255279142384e-10       2.788690861804e-14       2.471539931898e-12       0.000000000000e+00       3.753152461450e-12       1.962511474203e-13      -4.744179198965e-15 
   70       3.213130858034e-10       2.917580307816e-14       2.498741205309e-12       0.000000000000e+00       3.612850401186e-12       1.915731966502e-13      -4.613095893526e-15 
   71       3.171539237247e-10       3.049978544574e-14       2.524925045507e-12       0.000000000000e+00       3.479339323360e-12       1.870116961113e-13      -4.437343016843e-15 
   72       3.130518493631e-10       3.185931535581e-14       2.550091153694e-12       0.000000000000e+00       3.352386232197e-12       1.825883699569e-13      -4.234789247348e-15 
   73       3.090053371616e-10       3.325486666330e-14       2.574241648482e-12       0.000000000000e+00       3.231628539345e-12       1.783243272839e-13      -4.025545022999e-15 
   74       3.050097573784e-10       3.468692824529e-14       2.597381108598e-12       0.000000000000e+00       3.116568060522e-12       1.742399906194e-13      -3.832041828965e-15 
   75       3.010572188189e-10       3.615600480316e-14       2.619516615611e-12       0.000000000000e+00       3.006565012148e-12       1.703550244076e-13      -3.679111485294e-15 
   76       2.971398217869e-10       3.766249637340e-14       2.640653636347e-12       0.000000000000e+00       2.900991857554e-12       1.666812290074e-13      -3.587943281687e-15 
   77       2.932604494132e-10       3.920630972031e-14       2.660782708870e-12       0.000000000000e+00       2.799740504832e-12       1.631998847664e-13      -3.556507932144e-15 
   78       2.894236675969e-10       4.078717720709e-14       2.679890394955e-12       0.000000000000e+00       2.702797121776e-12       1.598801274100e-13      -3.575691298488e-15 
   79       2.856324034376e-10       4.240477014287e-14       2.697963183096e-12       0.000000000000e+00       2.610087810050e-12       1.566854037458e-13      -3.635054349652e-15 
   80       2.818878578964e-10       4.405869709781e-14       2.714987445911e-12       0.000000000000e+00       2.521475879675e-12       1.535732559029e-13      -3.722786909656e-15 
   81       2.781894184584e-10       4.574850221802e-14       2.730949397549e-12       0.000000000000e+00       2.436759123513e-12       1.504951055702e-13      -3.825661405578e-15 
   82       2.745345717938e-10       4.747366354068e-14       2.745835051099e-12       0.000000000000e+00       2.355667091752e-12       1.473960382360e-13      -3.928986615526e-15 
