# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.107999920527e-09       6.815246275668e-14       6.081074231759e-12       0.000000000000e+00       8.681824290847e-09       4.865774901504e-10      -2.526252397537e-12 
    3       1.073810064627e-09       1.186053265211e-13       6.960665714289e-12       0.000000000000e+00       5.457034393323e-09       3.482351086910e-10      -2.224386521042e-12 
    4       1.048884625549e-09       1.441964210696e-13       6.874243674563e-12       0.000000000000e+00       3.814350849257e-09       2.652790284846e-10      -1.778074397050e-12 
    5       1.031281549310e-09       1.404371881349e-13       6.298354434202e-12       0.000000000000e+00       2.854253867849e-09       2.106703083016e-10      -1.323251770845e-12 
    6       1.019078289998e-09       1.153192386335e-13       5.508485555019e-12       0.000000000000e+00       2.233550434410e-09       1.722041898930e-10      -9.070813680726e-13 
    7       1.010784438879e-09       8.189730758383e-14       4.677962497239e-12       0.000000000000e+00       1.803198968103e-09       1.437867413440e-10      -5.541135341209e-13 
    8       1.005220042675e-09       5.128109930330e-14       3.898545754055e-12       0.000000000000e+00       1.490282158074e-09       1.220554696166e-10      -2.755113902211e-13 
    9       1.001597837369e-09       2.937515925056e-14       3.214712680895e-12       0.000000000000e+00       1.255244593700e-09       1.049962239323e-10      -7.333811336983e-14 
   10       9.993912414745e-10       1.690947548621e-14       2.644408144692e-12       0.000000000000e+00       1.074114319485e-09       9.135602898259e-11       5.730536190418e-14 
   11       9.982978411708e-10       1.140870692732e-14       2.190734485305e-12       0.000000000000e+00       9.028920050493e-10       8.048413782151e-11       1.255351393809e-13 
   12       9.980168226458e-10       9.533539359652e-15       1.847613863426e-12       0.000000000000e+00       7.895429879238e-10       7.122600731192e-11       1.460289042965e-13 
   13       9.981880033393e-10       8.714578568024e-15       1.603661014809e-12       0.000000000000e+00       6.964533525957e-10       6.363942034225e-11       1.323115345015e-13 
   14       9.985693796913e-10       7.726628377518e-15       1.444856210993e-12       0.000000000000e+00       6.189642987097e-10       5.706584913574e-11       9.722704845560e-14 
   15       9.993643112831e-10       6.436511870895e-15       1.355761849001e-12       0.000000000000e+00       5.537087864823e-10       5.156800489926e-11       5.316005054342e-14 
   16       1.000403410037e-09       5.208808117538e-15       1.321098571651e-12       0.000000000000e+00       4.982005567880e-10       4.690437322164e-11       9.461422374431e-15 
   17       1.001369598274e-09       4.391418710231e-15       1.327888890312e-12       0.000000000000e+00       4.505610524621e-10       4.287410798286e-11      -2.722975988446e-14 
   18       1.002386188035e-09       4.078978398806e-15       1.365270945552e-12       0.000000000000e+00       4.091912130521e-10       3.929223217640e-11      -5.307603307136e-14 
   19       1.003613294973e-09       4.147996211241e-15       1.426818129046e-12       0.000000000000e+00       3.734436431746e-10       3.613068100392e-11      -6.700374581550e-14 
   20       1.004676348280e-09       4.379520093303e-15       1.504775601083e-12       0.000000000000e+00       3.419428582044e-10       3.333650614640e-11      -6.969022848421e-14 
   21       1.005727675483e-09       4.673979723604e-15       1.595712014742e-12       0.000000000000e+00       3.141980119927e-10       3.086366289799e-11      -6.324221267008e-14 
   22       1.006787965892e-09       4.977680170878e-15       1.696701576295e-12       0.000000000000e+00       2.895499324842e-10       2.862801948809e-11      -5.104918206774e-14 
   23       1.007862095871e-09       5.348686324173e-15       1.805754334035e-12       0.000000000000e+00       2.676626114794e-10       2.659898020838e-11      -3.614504580890e-14 
   24       1.008767131966e-09       5.880121181547e-15       1.920865121595e-12       0.000000000000e+00       2.480326420323e-10       2.474458906886e-11      -2.176319517942e-14 
   25       1.009625860769e-09       6.597524095175e-15       2.041296282501e-12       0.000000000000e+00       2.304313444754e-10       2.307648163113e-11      -9.895967367067e-15 
   26       1.010491926991e-09       7.495283773818e-15       2.166485782062e-12       0.000000000000e+00       2.145423948418e-10       2.159849933895e-11      -2.050085500494e-15 
   27       1.011309537395e-09       8.536510868513e-15       2.295660508448e-12       0.000000000000e+00       2.001767881436e-10       2.027390631958e-11       1.457754978423e-15 
   28       1.011906855623e-09       9.675351842882e-15       2.427867054014e-12       0.000000000000e+00       1.870883892304e-10       1.904693801367e-11       9.178245397025e-16 
   29       1.012376033187e-09       1.091107952296e-14       2.562404669670e-12       0.000000000000e+00       1.752114487124e-10       1.791475450465e-11      -2.861477182355e-15 
   30       1.012783073844e-09       1.225806511677e-14       2.698515273595e-12       0.000000000000e+00       1.644195482248e-10       1.688284591448e-11      -8.603283593684e-15 
   31       1.013092981659e-09       1.373059763264e-14       2.835339970494e-12       0.000000000000e+00       1.544938948138e-10       1.594706716980e-11      -1.479447144049e-14 
   32       1.013353058881e-09       1.533313209958e-14       2.972237600602e-12       0.000000000000e+00       1.453840318187e-10       1.509704417851e-11      -2.047350046276e-14 
   33       1.013552396188e-09       1.706630152869e-14       3.108571741013e-12       0.000000000000e+00       1.370262728601e-10       1.431203612195e-11      -2.470706454396e-14 
   34       1.013614574910e-09       1.893007405763e-14       3.243717428050e-12       0.000000000000e+00       1.293045298805e-10       1.356734467819e-11      -2.662637422325e-14 
   35       1.013585443930e-09       2.092638227621e-14       3.377390690515e-12       0.000000000000e+00       1.221798617221e-10       1.286365764610e-11      -2.630330320796e-14 
   36       1.013494434334e-09       2.305730994116e-14       3.509436315857e-12       0.000000000000e+00       1.155956959279e-10       1.220709109357e-11      -2.419133959608e-14 
   37       1.013324068589e-09       2.532564611279e-14       3.639754956455e-12       0.000000000000e+00       1.094670196727e-10       1.160081695462e-11      -2.085905815534e-14 
   38       1.013103759953e-09       2.773930788223e-14       3.768338689302e-12       0.000000000000e+00       1.037783854140e-10       1.104389730272e-11      -1.682456044734e-14 
   39       1.012835419747e-09       3.030842851139e-14       3.895254132169e-12       0.000000000000e+00       9.851209201710e-11       1.053151716607e-11      -1.268282891357e-14 
   40       1.012460656428e-09       3.304425932412e-14       4.020638528391e-12       0.000000000000e+00       9.361836134770e-11       1.005487150098e-11      -9.160647026854e-15 
   41       1.011898795282e-09       3.595738404986e-14       4.144623075713e-12       0.000000000000e+00       8.903276854996e-11       9.603978344095e-12      -6.938711453895e-15 
   42       1.011190267360e-09       3.905150277824e-14       4.267062423275e-12       0.000000000000e+00       8.474209054062e-11       9.178017661000e-12      -6.028577265546e-15 
   43       1.010389784884e-09       4.232773647329e-14       4.387724448615e-12       0.000000000000e+00       8.073517888597e-11       8.777799408441e-12      -6.206712425770e-15 
   44       1.009523414035e-09       4.578624483781e-14       4.506362492315e-12       0.000000000000e+00       7.698319416230e-11       8.402795284182e-12      -7.178596811012e-15 
   45       1.008597554200e-09       4.942697260394e-14       4.622713512784e-12       0.000000000000e+00       7.344996911358e-11       8.051557004492e-12      -8.613461685999e-15 
   46       1.007636114659e-09       5.325229812945e-14       4.736494790227e-12       0.000000000000e+00       7.013011523586e-11       7.723392973303e-12      -1.027175002927e-14 
   47       1.006649372059e-09       5.726507292118e-14       4.847404145754e-12       0.000000000000e+00       6.701991015652e-11       7.416996009786e-12      -1.190792466046e-14 
   48       1.005620731759e-09       6.146786902120e-14       4.955119239306e-12       0.000000000000e+00       6.410580061015e-11       7.129870087532e-12      -1.323214916296e-14 
   49       1.004504430418e-09       6.586296453125e-14       5.059296304632e-12       0.000000000000e+00       6.136367050135e-11       6.858245358609e-12      -1.390794662624e-14 
   50       1.003248496934e-09       7.045265064579e-14       5.159627045835e-12       0.000000000000e+00       5.876613632181e-11       6.598168915445e-12      -1.365567427805e-14 
   51       1.001876312733e-09       7.524028458537e-14       5.256030468744e-12       0.000000000000e+00       5.630846602923e-11       6.349323264477e-12      -1.260149098195e-14 
   52       1.000423218888e-09       8.022949744821e-14       5.348510933333e-12       0.000000000000e+00       5.398843035674e-11       6.112097447883e-12      -1.101906601464e-14 
   53       9.989121102328e-10       8.542389831991e-14       5.437105980225e-12       0.000000000000e+00       5.179854457971e-11       5.886472951225e-12      -9.234617781971e-15 
   54       9.973523265830e-10       9.082707492774e-14       5.521887802687e-12       0.000000000000e+00       4.972571433641e-11       5.671994056345e-12      -7.629552132493e-15 
   55       9.957456573491e-10       9.644231192490e-14       5.602913537160e-12       0.000000000000e+00       4.775525192404e-11       5.467993231203e-12      -6.552302913531e-15 
   56       9.941086422868e-10       1.022716622910e-13       5.680058301694e-12       0.000000000000e+00       4.588490495683e-11       5.274400786173e-12      -6.022163119491e-15 
   57       9.924538686178e-10       1.083166463935e-13       5.753143258986e-12       0.000000000000e+00       4.411369235477e-11       5.091084424515e-12      -5.956500255932e-15 
   58       9.907825294826e-10       1.145785040246e-13       5.821982653181e-12       0.000000000000e+00       4.243765930600e-11       4.917592546148e-12      -6.254228240982e-15 
   59       9.890835923063e-10       1.210581840537e-13       5.886383287772e-12       0.000000000000e+00       4.084969336563e-11       4.753134537049e-12      -6.794908143875e-15 
   60       9.873329671644e-10       1.277563340808e-13       5.946144003523e-12       0.000000000000e+00       3.933934055471e-11       4.596561058647e-12      -7.437848923497e-15 
   61       9.855054847641e-10       1.346733714879e-13       6.001070670165e-12       0.000000000000e+00       3.789572064162e-11       4.446674880523e-12      -8.050381699778e-15 
   62       9.836158535550e-10       1.418097386402e-13       6.051026274889e-12       0.000000000000e+00       3.651745368902e-11       4.303289499580e-12      -8.602133164992e-15 
