# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.108001242797e-09       6.815321577243e-14       6.081074208224e-12       7.530156488866e-19       8.681824290847e-09       4.865774901504e-10      -2.526252397537e-12 
    3       1.073812685663e-09       1.186068349022e-13       6.960665609970e-12       1.508380118745e-18       5.457034393323e-09       3.482351086910e-10      -2.224386521042e-12 
    4       1.048888942552e-09       1.441989401617e-13       6.874243376949e-12       2.519086926693e-18       3.814350849257e-09       2.652790284846e-10      -1.778074397050e-12 
    5       1.031287930451e-09       1.404409761477e-13       6.298353762208e-12       3.787994900159e-18       2.854253867849e-09       2.106703083016e-10      -1.323251770845e-12 
    6       1.019087069082e-09       1.153245571349e-13       5.508484247614e-12       5.318452452070e-18       2.233550434410e-09       1.722041898930e-10      -9.070813680726e-13 
    7       1.010795911163e-09       8.190442186014e-14       4.677960205410e-12       7.114161671637e-18       1.803198968103e-09       1.437867413440e-10      -5.541135341209e-13 
    8       1.005234461991e-09       5.129027857074e-14       3.898542036349e-12       9.179028625561e-18       1.490282158074e-09       1.220554696166e-10      -2.755113902211e-13 
    9       1.001615414614e-09       2.938667671104e-14       3.214707002573e-12       1.151700622191e-17       1.255244593700e-09       1.049962239323e-10      -7.333811336983e-14 
   10       9.994121445019e-10       1.692360822575e-14       2.644399880285e-12       1.413193631092e-17       1.074114319485e-09       9.135602898259e-11       5.730536190418e-14 
   11       9.983221960501e-10       1.142573566226e-14       2.190722924213e-12       1.702739773759e-17       9.028920050493e-10       8.048413782151e-11       1.255351393809e-13 
   12       9.980447162152e-10       9.553748042124e-15       1.847598217946e-12       2.020656681743e-17       7.895429879238e-10       7.122600731192e-11       1.460289042965e-13 
