# dimensionless [l(l+1)/2pi] C_l's for scalar adiabatic (AD) mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437884881e-10       7.309026171928e-15       4.815171199233e-13       0.000000000000e+00       8.628903617087e-09       4.854772066570e-10      -2.515854151458e-12 
    3       1.409365941006e-10       1.238791651529e-14       6.068719691872e-13       0.000000000000e+00       5.411291729526e-09       3.469573630222e-10      -2.211507030988e-12 
    4       1.324622776363e-10       1.446512635753e-14       6.277976520398e-13       0.000000000000e+00       3.776588562394e-09       2.639785162306e-10      -1.764116066972e-12 
    5       1.257504755929e-10       1.337853519748e-14       5.879551646626e-13       0.000000000000e+00       2.821984242049e-09       2.093815793204e-10      -1.309529286381e-12 
    6       1.208053900681e-10       1.032310747866e-14       5.173990841079e-13       0.000000000000e+00       2.205212290827e-09       1.709428901675e-10      -8.948468925043e-13 
    7       1.173297559689e-10       6.841600365728e-15       4.365335861678e-13       0.000000000000e+00       1.778233644131e-09       1.425663955290e-10      -5.443860557911e-13 
    8       1.150037075262e-10       4.042374146224e-15       3.576623511192e-13       0.000000000000e+00       1.468351550550e-09       1.208855441764e-10      -2.689334596575e-13 
    9       1.135828981900e-10       2.336357197406e-15       2.880590506710e-13       0.000000000000e+00       1.235838582091e-09       1.038809687782e-10      -7.009986708554e-14 
   10       1.128526859305e-10       1.571653533675e-15       2.317799681299e-13       0.000000000000e+00       1.056623423169e-09       9.029296034732e-11       5.745597608348e-14 
   11       1.126728121223e-10       1.345905907660e-15       1.905574140067e-13       0.000000000000e+00       8.886898898127e-10       7.950623086001e-11       1.233291888321e-13 
   12       1.129346470958e-10       1.288312421107e-15       1.640636561778e-13       0.000000000000e+00       7.765278523834e-10       7.028428632254e-11       1.421600851828e-13 
   13       1.135181483930e-10       1.200674797162e-15       1.505300359396e-13       0.000000000000e+00       6.844563354084e-10       6.274647242464e-11       1.277329344202e-13 
   14       1.143248470224e-10       1.054790798643e-15       1.474046707340e-13       0.000000000000e+00       6.078507047155e-10       5.620930609833e-11       9.279532842572e-14 
   15       1.153611509961e-10       9.105397340073e-16       1.516730187119e-13       0.000000000000e+00       5.433693973580e-10       5.074770792064e-11       4.959311374639e-14 
   16       1.165881693821e-10       8.293959321026e-16       1.602914708480e-13       0.000000000000e+00       4.885455327568e-10       4.611882993110e-11       7.232456377599e-15 
   17       1.179228715493e-10       8.287731531731e-16       1.707806929924e-13       0.000000000000e+00       4.415155595332e-10       4.212235207162e-11      -2.792920738550e-14 
   18       1.193693265831e-10       8.811664358992e-16       1.812740692553e-13       0.000000000000e+00       4.006946027059e-10       3.857272406269e-11      -5.233421616161e-14 
   19       1.209354674926e-10       9.538926646625e-16       1.907919244724e-13       0.000000000000e+00       3.654375322369e-10       3.544037303004e-11      -6.510245690515e-14 
   20       1.225654162629e-10       1.013472815880e-15       1.985909981686e-13       0.000000000000e+00       3.343837621457e-10       3.267209697117e-11      -6.706958961893e-14 
   21       1.242710942526e-10       1.062834165538e-15       2.047508473606e-13       0.000000000000e+00       3.070458394792e-10       3.022366351718e-11      -6.038518244017e-14 
