# dimensionless [l(l+1)/2pi] C_l's for scalar neutrino density isocurvature (NID) mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       9.584561320385e-10       6.084343658475e-14       5.599557111835e-12       0.000000000000e+00       5.292067376001e-11       1.100283493423e-12      -1.039824607946e-14 
    3       9.328734705264e-10       1.062174100058e-13       6.353793745102e-12       0.000000000000e+00       4.574266379686e-11       1.277745668863e-12      -1.287949005440e-14 
    4       9.164223479131e-10       1.297312947121e-13       6.246446022524e-12       0.000000000000e+00       3.776228686319e-11       1.300512253970e-12      -1.395833007774e-14 
    5       9.055310737167e-10       1.270586529374e-13       5.710399269539e-12       0.000000000000e+00       3.226962580027e-11       1.288728981230e-12      -1.372248446430e-14 
    6       8.982728999301e-10       1.049961311548e-13       4.991086470911e-12       0.000000000000e+00       2.833814358290e-11       1.261299725496e-12      -1.223447556826e-14 
    7       8.934546829103e-10       7.505570721810e-14       4.241428911071e-12       0.000000000000e+00       2.496532397191e-11       1.220345815031e-12      -9.727478329772e-15 
    8       8.902163351486e-10       4.723872515708e-14       3.540883402935e-12       0.000000000000e+00       2.193060752490e-11       1.169925440279e-12      -6.577930563602e-15 
    9       8.880149391790e-10       2.703880205315e-14       2.926653630224e-12       0.000000000000e+00       1.940601160887e-11       1.115255154082e-12      -3.238246284289e-15 
   10       8.865385555440e-10       1.533782195253e-14       2.412628176562e-12       0.000000000000e+00       1.749089631558e-11       1.063068635268e-12      -1.506141793004e-16 
   11       8.856250290485e-10       1.006280101966e-14       2.000177071298e-12       0.000000000000e+00       1.420211523662e-11       9.779069615012e-13       2.205950548860e-15 
   12       8.850821755500e-10       8.245226938545e-15       1.683550207248e-12       0.000000000000e+00       1.301513554038e-11       9.417209893847e-13       3.868819113652e-15 
   13       8.846698549463e-10       7.513903770862e-15       1.453130978869e-12       0.000000000000e+00       1.199701718727e-11       8.929479176137e-13       4.578600081298e-15 
   14       8.842445326689e-10       6.671837578875e-15       1.297451540259e-12       0.000000000000e+00       1.111359399418e-11       8.565430374089e-13       4.431720029878e-15 
   15       8.840031602870e-10       5.525972136888e-15       1.204088830289e-12       0.000000000000e+00       1.033938912431e-11       8.202969786176e-13       3.566936797030e-15 
   16       8.838152406548e-10       4.379412185435e-15       1.160807100803e-12       0.000000000000e+00       9.655024031188e-12       7.855432905397e-13       2.228965996832e-15 
   17       8.834467267249e-10       3.562645557058e-15       1.157108197320e-12       0.000000000000e+00       9.045492928901e-12       7.517559112346e-13       6.994475010476e-16 
   18       8.830168614523e-10       3.197811962907e-15       1.183996876297e-12       0.000000000000e+00       8.496610346234e-12       7.195081137096e-13      -7.418169097456e-16 
   19       8.826778274803e-10       3.194103546579e-15       1.236026204573e-12       0.000000000000e+00       8.006110937706e-12       6.903079738838e-13      -1.901288910351e-15 
