# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442757921e-10       7.309265058054e-15       4.815171147324e-13       2.388860942234e-19       8.628903617087e-09       4.854772066570e-10      -2.515854151458e-12 
    3       1.409375665235e-10       1.238839452001e-14       6.068719460982e-13       4.780043944736e-19       5.411291729526e-09       3.469573630222e-10      -2.211507030988e-12 
    4       1.324638935404e-10       1.446592354093e-14       6.277975858653e-13       7.971818272765e-19       3.776588562394e-09       2.639785162306e-10      -1.764116066972e-12 
    5       1.257528905775e-10       1.337973190842e-14       5.879550143867e-13       1.196705558236e-18       2.821984242049e-09       2.093815793204e-10      -1.309529286381e-12 
    6       1.208087564041e-10       1.032478440925e-14       5.173987897282e-13       1.676915977665e-18       2.205212290827e-09       1.709428901675e-10      -8.948468925043e-13 
    7       1.173342221105e-10       6.843838594945e-15       4.365330660131e-13       2.238195417970e-18       1.778233644131e-09       1.425663955290e-10      -5.443860557911e-13 
    8       1.150094177094e-10       4.045255171258e-15       3.576614996940e-13       2.880955651445e-18       1.468351550550e-09       1.208855441764e-10      -2.689334596575e-13 
    9       1.135899921244e-10       2.339962951795e-15       2.880577370549e-13       3.605624662800e-18       1.235838582091e-09       1.038809687782e-10      -7.009986708554e-14 
   10       1.128612985882e-10       1.576066391726e-15       2.317780349357e-13       4.412633217948e-18       1.056623423169e-09       9.029296034732e-11       5.745597608348e-14 
   11       1.126830736235e-10       1.351208675094e-15       1.905546768794e-13       5.302401756586e-18       8.886898898127e-10       7.950623086001e-11       1.233291888321e-13 
   12       1.129466826898e-10       1.294588312321e-15       1.640599037947e-13       6.275328120640e-18       7.765278523834e-10       7.028428632254e-11       1.421600851828e-13 
   13       1.135320785278e-10       1.208007399931e-15       1.505250304536e-13       7.331776594421e-18       6.844563354084e-10       6.274647242464e-11       1.277329344202e-13 
   14       1.143407874951e-10       1.063264027470e-15       1.473981485871e-13       8.472068676770e-18       6.078507047155e-10       5.620930609833e-11       9.279532842572e-14 
   15       1.153792131728e-10       9.202377737241e-16       1.516646917327e-13       9.696475932827e-18       5.433693973580e-10       5.074770792064e-11       4.959311374639e-14 
   16       1.166084604762e-10       8.404031735610e-16       1.602810275423e-13       1.100521518632e-17       4.885455327568e-10       4.611882993110e-11       7.232456377599e-15 
   17       1.179454949419e-10       8.411741231404e-16       1.707677999322e-13       1.239844621596e-17       4.415155595332e-10       4.212235207162e-11      -2.792920738550e-14 
   18       1.193943821798e-10       8.950457224226e-16       1.812583725228e-13       1.387627078967e-17       4.006946027059e-10       3.857272406269e-11      -5.233421616161e-14 
   19       1.209630520601e-10       9.693348459642e-16       1.907730507926e-13       1.543874157216e-17       3.654375322369e-10       3.544037303004e-11      -6.510245690515e-14 
   20       1.225956238360e-10       1.030562379639e-15       1.985685564077e-13       1.708585387007e-17       3.343837621457e-10       3.267209697117e-11      -6.706958961893e-14 
   21       1.243040164276e-10       1.081655445900e-15       2.047244291603e-13       1.881757084701e-17       3.070458394792e-10       3.022366351718e-11      -6.038518244017e-14 
   22       1.260879266087e-10       1.140726892696e-15       2.096934188112e-13       2.063381366048e-17       2.827706838286e-10       2.801369349630e-11      -4.840846186621e-14 
   23       1.279365640967e-10       1.227172456548e-15       2.139233693614e-13       2.253449143514e-17       2.612248150154e-10       2.601112428664e-11      -3.407761874121e-14 
   24       1.298178484166e-10       1.359591115641e-15       2.179345834942e-13       2.451949135318e-17       2.419102435222e-10       2.418236920156e-11      -2.047693897010e-14 
   25       1.317486468694e-10       1.538392511505e-15       2.222217807397e-13       2.658871360115e-17       2.246000767047e-10       2.253678945197e-11      -9.447604777692e-15 
   26       1.337412813722e-10       1.756560533392e-15       2.272302500029e-13       2.874205924401e-17       2.089813630689e-10       2.107676577824e-11      -2.331879952480e-15 
   27       1.357769001700e-10       2.007678385378e-15       2.329801784842e-13       3.097946084964e-17       1.948668562556e-10       1.976940625678e-11       6.620914508113e-16 
   28       1.378198740448e-10       2.285336748030e-15       2.392873900066e-13       3.330087474782e-17       1.820132727792e-10       1.856391729931e-11      -9.525394683013e-17 
   29       1.398799396448e-10       2.589051788638e-15       2.458479685877e-13       3.570631631001e-17       1.703550526959e-10       1.745581851310e-11      -3.801163514203e-15 
   30       1.419713403924e-10       2.920067199928e-15       2.522262579827e-13       3.819584022788e-17       1.597671055394e-10       1.644628975733e-11      -9.226628714602e-15 
   31       1.440979335136e-10       3.279007071630e-15       2.579084667487e-13       4.076954042291e-17       1.500335706636e-10       1.552718435833e-11      -1.492867199768e-14 
