# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_efld           14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.000000000000e+14       7.558502978834e-26       4.634785000235e-09       2.157546133156e+22       1.152959485625e+04       1.152959485625e-10       1.152959485625e+18       2.675957933493e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       2.985121549152e-08       8.047971841539e+37       1.903443976270e+44       4.655005316696e+44       4.655005316696e+44       1.551668251060e+44      -1.339118264550e+53       1.175197882294e-18       2.000000000000e+14 
       9.930486593828e+13       7.664692387184e-26       4.667526809499e-09       2.127654713000e+22       1.152959485625e+04       1.161030202026e-10       1.144944871522e+18       2.694689639028e-09       2.675846458083e+44       2.400623788811e+33       1.311669806177e+34       2.985121549152e-08       7.864827386310e+37       1.851067333029e+44       4.526914577750e+44       4.526914577750e+44       1.508971342352e+44      -1.293217523901e+53       1.639545298149e-06       1.433565614958e+02 
       9.861456399021e+13       7.772373650486e-26       4.700268618762e-09       2.098177419334e+22       1.152959485625e+04       1.169157413442e-10       1.136985969733e+18       2.713552466493e-09       2.602215788071e+44       2.350908324108e+33       1.284505918919e+34       2.985121549152e-08       7.685850675719e+37       1.800131926196e+44       4.402348483004e+44       4.402348483004e+44       1.467449314947e+44      -1.248890115534e+53       3.279090595604e-06       7.167828073259e+01 
       9.792906056610e+13       7.881567727811e-26       4.733010428026e-09       2.069108514702e+22       1.152959485625e+04       1.177341515338e-10       1.129082392980e+18       2.732547333742e-09       2.530611196779e+44       2.302222436570e+33       1.257904579313e+34       2.985121549152e-08       7.510946866077e+37       1.750598097588e+44       4.281210045611e+44       4.281210045611e+44       1.427069839899e+44      -1.206082110593e+53       4.918635892361e-06       4.778552047812e+01 
       9.724832230978e+13       7.992295872680e-26       4.765752237290e-09       2.040442341134e+22       1.152959485625e+04       1.185582905947e-10       1.121233756682e+18       2.751675165054e-09       2.460976933051e+44       2.254544804274e+33       1.231854137339e+34       2.985121549152e-08       7.340023272018e+37       1.702427280291e+44       4.163404947491e+44       4.163404947491e+44       1.387801477848e+44      -1.164741428731e+53       6.558181188417e-06       3.583914035084e+01 
       9.657231609696e+13       8.104579637210e-26       4.798494046554e-09       2.012173319049e+22       1.152959485625e+04       1.193881986290e-10       1.113439678927e+18       2.770936891177e-09       2.393258779823e+44       2.207854546867e+33       1.206343184241e+34       2.985121549152e-08       7.172989317379e+37       1.655581968627e+44       4.048841465892e+44       4.048841465892e+44       1.349613654547e+44      -1.124817774752e+53       8.197726483769e-06       2.867131227442e+01 
       9.590100903358e+13       8.218440876298e-26       4.833054845221e-09       1.984295946168e+22       1.152959485625e+04       1.202239160196e-10       1.105699780463e+18       2.790333449375e-09       2.327404011909e+44       2.162131216413e+33       1.181360547530e+34       2.985121549152e-08       7.009756487199e+37       1.610025688953e+44       3.937430401978e+44       3.937430401978e+44       1.312476637052e+44      -1.086262577419e+53       9.837271778413e-06       2.389276022345e+01 
       9.523436845425e+13       8.333901751884e-26       4.867615643889e-09       1.956804796441e+22       1.152959485625e+04       1.210654834319e-10       1.098013684668e+18       2.809865783471e-09       2.263361354952e+44       2.117354788439e+33       1.156895286094e+34       2.985121549152e-08       6.850238280822e+37       1.565722971263e+44       3.829085011376e+44       3.829085011376e+44       1.276361510574e+44      -1.049028930365e+53       1.147681707235e-05       2.047950875843e+01 
       9.457236192066e+13       8.450984737261e-26       4.900357453153e-09       1.929694518995e+22       1.152959485625e+04       1.219129418161e-10       1.090381017544e+18       2.829534843898e-09       2.201080945498e+44       2.073505653170e+33       1.132936685406e+34       2.985121549152e-08       6.694350166048e+37       1.522639321572e+44       3.723720936639e+44       3.723720936639e+44       1.241240155967e+44      -1.013071535024e+53       1.311636236557e-05       1.791957015965e+01 
       9.391495721998e+13       8.569712621448e-26       4.934918251820e-09       1.902959837087e+22       1.152959485625e+04       1.227663324090e-10       1.082801407688e+18       2.849341587738e-09       2.140514292177e+44       2.030564606934e+33       1.109474252826e+34       2.985121549152e-08       6.542009534343e+37       1.480741195057e+44       3.621256141567e+44       3.621256141567e+44       1.207085227832e+44      -9.783466455221e+52       1.475590765807e-05       1.592850680502e+01 
