# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437887226e-10       7.309026172908e-15       4.815171199969e-13       0.000000000000e+00       8.628903610509e-09       4.854772125544e-10      -2.515854151608e-12 
    3       1.409365943206e-10       1.238791651649e-14       6.068719691963e-13       0.000000000000e+00       5.411291721079e-09       3.469573586109e-10      -2.211507031142e-12 
    4       1.324622774412e-10       1.446512635928e-14       6.277976520581e-13       0.000000000000e+00       3.776588552793e-09       2.639785050832e-10      -1.764116067068e-12 
    5       1.257504767410e-10       1.337853519880e-14       5.879551646996e-13       0.000000000000e+00       2.821984230357e-09       2.093815838904e-10      -1.309529286441e-12 
    6       1.208053913276e-10       1.032310747923e-14       5.173990841424e-13       0.000000000000e+00       2.205212283214e-09       1.709429029468e-10      -8.948468925700e-13 
    7       1.173297571954e-10       6.841600365873e-15       4.365335862020e-13       0.000000000000e+00       1.778233642842e-09       1.425663901552e-10      -5.443860557774e-13 
    8       1.150037074222e-10       4.042374146248e-15       3.576623511459e-13       0.000000000000e+00       1.468351550816e-09       1.208855287076e-10      -2.689334595323e-13 
    9       1.135829010692e-10       2.336357197399e-15       2.880590507282e-13       0.000000000000e+00       1.235838580625e-09       1.038809734707e-10      -7.009986708498e-14 
   10       1.128526891633e-10       1.571653533684e-15       2.317799681312e-13       0.000000000000e+00       1.056623420698e-09       9.029297740729e-11       5.745597583857e-14 
   11       1.126728149685e-10       1.345905907612e-15       1.905574141807e-13       0.000000000000e+00       8.886898864748e-10       7.950622630523e-11       1.233291887558e-13 
   12       1.129346479114e-10       1.288312421111e-15       1.640636562040e-13       0.000000000000e+00       7.765278492989e-10       7.028426675431e-11       1.421600855636e-13 
   13       1.135181529549e-10       1.200674797098e-15       1.505300362974e-13       0.000000000000e+00       6.844563325639e-10       6.274647515218e-11       1.277329346312e-13 
   14       1.143248537074e-10       1.054790798615e-15       1.474046706933e-13       0.000000000000e+00       6.078507021009e-10       5.620932690292e-11       9.279532789674e-14 
   15       1.153611556216e-10       9.105397339866e-16       1.516730192381e-13       0.000000000000e+00       5.433693949156e-10       5.074770640199e-11       4.959311332842e-14 
   16       1.165881727407e-10       8.293959318705e-16       1.602914710282e-13       0.000000000000e+00       4.885455304578e-10       4.611880692660e-11       7.232457043100e-15 
   17       1.179228768507e-10       8.287731532632e-16       1.707806936960e-13       0.000000000000e+00       4.415155573588e-10       4.212235062690e-11      -2.792920671919e-14 
   18       1.193693330950e-10       8.811664360612e-16       1.812740701289e-13       0.000000000000e+00       4.006946006379e-10       3.857273457452e-11      -5.233421669080e-14 
   19       1.209354735984e-10       9.538926645431e-16       1.907919251448e-13       0.000000000000e+00       3.654375302580e-10       3.544037684175e-11      -6.510245800031e-14 
   20       1.225654212335e-10       1.013472815464e-15       1.985909990403e-13       0.000000000000e+00       3.343837602407e-10       3.267209112089e-11      -6.706958889623e-14 
   21       1.242710988614e-10       1.062834165026e-15       2.047508485246e-13       0.000000000000e+00       3.070458376371e-10       3.022365554765e-11      -6.038518044635e-14 
   22       1.260522065665e-10       1.120089788732e-15       2.097242389462e-13       0.000000000000e+00       2.827706820452e-10       2.801369664239e-11      -4.840846273383e-14 
   23       1.278979535614e-10       1.204635700101e-15       2.139590307510e-13       0.000000000000e+00       2.612248132871e-10       2.601113569071e-11      -3.407762215474e-14 
   24       1.297762580506e-10       1.335071215409e-15       2.179755426765e-13       0.000000000000e+00       2.419102418459e-10       2.418236736224e-11      -2.047693880814e-14 
   25       1.317039916184e-10       1.511806345507e-15       2.222685094178e-13       0.000000000000e+00       2.246000750791e-10       2.253677291317e-11      -9.447600287025e-15 
   26       1.336934818440e-10       1.727825393399e-15       2.272832345941e-13       0.000000000000e+00       2.089813614953e-10       2.107676123861e-11      -2.331878072376e-15 
   27       1.357258783035e-10       1.976711991446e-15       2.330399215961e-13       0.000000000000e+00       1.948668547346e-10       1.976942682725e-11       6.620879431510e-16 
   28       1.377655512360e-10       2.252057272842e-15       2.393544105907e-13       0.000000000000e+00       1.820132713097e-10       1.856395052330e-11      -9.525831603161e-17 
   29       1.398222359231e-10       2.553377843001e-15       2.459228008171e-13       0.000000000000e+00       1.703550512753e-10       1.745584862306e-11      -3.801164546233e-15 
   30       1.419101734984e-10       2.881917844881e-15       2.523094506160e-13       0.000000000000e+00       1.597671041633e-10       1.644630547473e-11      -9.226625481856e-15 
   31       1.440332195453e-10       3.238301830294e-15       2.580005825623e-13       0.000000000000e+00       1.500335693266e-10       1.552718038316e-11      -1.492866692529e-14 
   32       1.461942637668e-10       3.620417547238e-15       2.626239879515e-13       0.000000000000e+00       1.411042582752e-10       1.468921490234e-11      -2.002926980334e-14 
   33       1.483866090573e-10       4.024639252759e-15       2.658009014047e-13       0.000000000000e+00       1.329161009729e-10       1.391497678047e-11      -2.370100680785e-14 
   34       1.505973845226e-10       4.447817450398e-15       2.671636674799e-13       0.000000000000e+00       1.253545982066e-10       1.318309429024e-11      -2.518539267137e-14 
   35       1.528332216848e-10       4.892544927585e-15       2.666307511971e-13       0.000000000000e+00       1.183811086208e-10       1.249406632719e-11      -2.459200581626e-14 
   36       1.551019062090e-10       5.363799236590e-15       2.642298489869e-13       0.000000000000e+00       1.119397475771e-10       1.185261310374e-11      -2.238999422136e-14 
   37       1.574058382635e-10       5.866748483194e-15       2.600329636611e-13       0.000000000000e+00       1.059467509946e-10       1.126054184385e-11      -1.915231805683e-14 
   38       1.597454874129e-10       6.403718094898e-15       2.541715743220e-13       0.000000000000e+00       1.003866707538e-10       1.071670073146e-11      -1.535846325183e-14 
   39       1.621158476999e-10       6.976268070976e-15       2.468320911865e-13       0.000000000000e+00       9.524189562610e-11       1.021646101702e-11      -1.154171849522e-14 
   40       1.645046236925e-10       7.586006474723e-15       2.382561857018e-13       0.000000000000e+00       9.046338870068e-11       9.751315804504e-12      -8.351246037818e-15 
   41       1.668978696089e-10       8.234293973620e-15       2.286722623288e-13       0.000000000000e+00       8.598777926325e-11       9.311592902125e-12      -6.389560850367e-15 
   42       1.693007833412e-10       8.921239585329e-15       2.180548508111e-13       0.000000000000e+00       8.180192044664e-11       8.896431754948e-12      -5.644107570960e-15 
   43       1.717225131174e-10       9.646379551543e-15       2.062926245790e-13       0.000000000000e+00       7.789473296940e-11       8.506510830192e-12      -5.882707279118e-15 
   44       1.741701543070e-10       1.040892638913e-14       1.932520677273e-13       0.000000000000e+00       7.423783278316e-11       8.141180043470e-12      -6.802859489111e-15 
   45       1.766484087644e-10       1.120805239152e-14       1.787876113696e-13       0.000000000000e+00       7.079567612265e-11       7.798904457498e-12      -8.072933980526e-15 
   46       1.791590526633e-10       1.204388707415e-14       1.627793041219e-13       0.000000000000e+00       6.756285812699e-11       7.479022667937e-12      -9.481082950590e-15 
   47       1.817008683354e-10       1.291678481370e-14       1.451037704855e-13       0.000000000000e+00       6.453562140938e-11       7.180319850078e-12      -1.082315893329e-14 
   48       1.842694545112e-10       1.382704580383e-14       1.256226519344e-13       0.000000000000e+00       6.170060569658e-11       6.900435561765e-12      -1.185902937889e-14 
   49       1.868569622510e-10       1.477491403749e-14       1.041817318772e-13       0.000000000000e+00       5.903413367788e-11       6.635781675101e-12      -1.231068919262e-14 
   50       1.894553091888e-10       1.576058618873e-14       8.065349475317e-14       0.000000000000e+00       5.650934389003e-11       6.382582657847e-12      -1.195046234408e-14 
   51       1.920674634620e-10       1.678424578105e-14       5.508045232214e-14       0.000000000000e+00       5.412152872536e-11       6.140519706069e-12      -1.089821012091e-14 
   52       1.946987662178e-10       1.784603480605e-14       2.756920911838e-14       0.000000000000e+00       5.186843968570e-11       5.909933910037e-12      -9.401534103309e-15 
   53       1.973536229967e-10       1.894604216557e-14      -1.748430230680e-15       0.000000000000e+00       4.974270476686e-11       5.690761799875e-12      -7.755034268962e-15 
   54       2.000354033497e-10       2.008430216696e-14      -3.271429208360e-14       0.000000000000e+00       4.773148357993e-11       5.482506093726e-12      -6.302661017375e-15 
   55       2.027464829427e-10       2.126081011610e-14      -6.518232709895e-14       0.000000000000e+00       4.582038616989e-11       5.284465705216e-12      -5.357171348718e-15 
   56       2.054886120894e-10       2.247557707989e-14      -9.914796612370e-14       0.000000000000e+00       4.400715957743e-11       5.096559690397e-12      -4.929678196603e-15 
   57       2.082624629402e-10       2.372858609225e-14      -1.346488516278e-13       0.000000000000e+00       4.229079723066e-11       4.918656750032e-12      -4.937035098870e-15 
   58       2.110674022466e-10       2.501977542799e-14      -1.717283590926e-13       0.000000000000e+00       4.066739826823e-11       4.750315169660e-12      -5.277987055809e-15 
   59       2.139013965295e-10       2.634903776420e-14      -2.104359733715e-13       0.000000000000e+00       3.912998877856e-11       4.590763668773e-12      -5.832292846236e-15 
   60       2.167609172464e-10       2.771621934169e-14      -2.508276650514e-13       0.000000000000e+00       3.766834303920e-11       4.438882250000e-12      -6.459847343572e-15 
   61       2.196424300323e-10       2.912106321646e-14      -2.929544233710e-13       0.000000000000e+00       3.627182359040e-11       4.293505604304e-12      -7.029628314329e-15 
   62       2.225474675788e-10       3.056302602651e-14      -3.368239957775e-13       0.000000000000e+00       3.493905080256e-11       4.154456233070e-12      -7.516114996512e-15 
   63       2.254785323181e-10       3.204141842110e-14      -3.824311891784e-13       0.000000000000e+00       3.367009641057e-11       4.021710293243e-12      -7.923052733509e-15 
   64       2.284375691399e-10       3.355545478064e-14      -4.297689561316e-13       0.000000000000e+00       3.246357487129e-11       3.895086764441e-12      -8.255605504379e-15 
   65       2.314259208207e-10       3.510425060405e-14      -4.788283954231e-13       0.000000000000e+00       3.131656038818e-11       3.774238532598e-12      -8.520424548191e-15 
   66       2.344442834531e-10       3.668681989625e-14      -5.295987526440e-13       0.000000000000e+00       3.022450393593e-11       3.658643473600e-12      -8.725716988381e-15 
   67       2.374926618754e-10       3.830207255554e-14      -5.820674207686e-13       0.000000000000e+00       2.918115028512e-11       3.547595536931e-12      -8.881314457098e-15 
   68       2.405708366943e-10       3.994893239234e-14      -6.362198880634e-13       0.000000000000e+00       2.818020881374e-11       3.440402824668e-12      -8.997651529986e-15 
   69       2.436799748719e-10       4.162672479403e-14      -6.920395682674e-13       0.000000000000e+00       2.722094454844e-11       3.337048366010e-12      -9.082307266652e-15 
   70       2.468212669167e-10       4.333486327880e-14      -7.495079368811e-13       0.000000000000e+00       2.630357616012e-11       3.237647830507e-12      -9.142882955179e-15 
   71       2.499954132430e-10       4.507273627870e-14      -8.086045800349e-13       0.000000000000e+00       2.542758497679e-11       3.142250821836e-12      -9.188070309264e-15 
   72       2.532025926844e-10       4.683970761233e-14      -8.693071937194e-13       0.000000000000e+00       2.459167686211e-11       3.050837255442e-12      -9.227692210477e-15 
   73       2.564424310070e-10       4.863511695742e-14      -9.315915830160e-13       0.000000000000e+00       2.379374409390e-11       2.963313736173e-12      -9.272743450522e-15 
   74       2.597139694232e-10       5.045828032349e-14      -9.954316613276e-13       0.000000000000e+00       2.303082724267e-11       2.879509935920e-12      -9.335431473504e-15 
   75       2.630156331053e-10       5.230849052449e-14      -1.060799449609e-12       0.000000000000e+00       2.229907705014e-11       2.799174971259e-12      -9.429217118188e-15 
   76       2.663458742639e-10       5.418485795334e-14      -1.127662182415e-12       0.000000000000e+00       2.159471002726e-11       2.722043960042e-12      -9.564915688099e-15 
   77       2.697053063707e-10       5.608579833975e-14      -1.195973018502e-12       0.000000000000e+00       2.091716069539e-11       2.648059710420e-12      -9.738089272619e-15 
   78       2.730949037252e-10       5.800945200727e-14      -1.265678626987e-12       0.000000000000e+00       2.026643758312e-11       2.577185064605e-12      -9.939418693807e-15 
   79       2.765153440472e-10       5.995383252785e-14      -1.336721871136e-12       0.000000000000e+00       1.964216304450e-11       2.509334158307e-12      -1.015839982280e-14 
   80       2.799669908234e-10       6.191682391969e-14      -1.409041748258e-12       0.000000000000e+00       1.904355551460e-11       2.444370237445e-12      -1.038330353589e-14 
   81       2.834498756526e-10       6.389617784519e-14      -1.482573329616e-12       0.000000000000e+00       1.846941176503e-11       2.382103474868e-12      -1.060113567066e-14 
   82       2.869636805927e-10       6.588951080880e-14      -1.557247700327e-12       0.000000000000e+00       1.791808915952e-11       2.322288787066e-12      -1.079759698202e-14 
   83       2.905077205057e-10       6.789430135494e-14      -1.632991899264e-12       0.000000000000e+00       1.738748790944e-11       2.264623650888e-12      -1.095704309836e-14 
   84       2.940813106937e-10       6.990813926709e-14      -1.709737256823e-12       0.000000000000e+00       1.687556143938e-11       2.208819420186e-12      -1.106573106404e-14 
   85       2.976849784999e-10       7.192952676956e-14      -1.787446127995e-12       0.000000000000e+00       1.638198356514e-11       2.154833642316e-12      -1.112226507146e-14 
