# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442760273e-10       7.309265059080e-15       4.815171148060e-13       2.388861387804e-19       8.628903610509e-09       4.854772125544e-10      -2.515854151608e-12 
    3       1.409375667451e-10       1.238839452130e-14       6.068719461074e-13       4.780044831211e-19       5.411291721079e-09       3.469573586109e-10      -2.211507031142e-12 
    4       1.324638933480e-10       1.446592354283e-14       6.277975858840e-13       7.971819740141e-19       3.776588552793e-09       2.639785050832e-10      -1.764116067068e-12 
    5       1.257528917299e-10       1.337973190996e-14       5.879550144246e-13       1.196705776520e-18       2.821984230357e-09       2.093815838904e-10      -1.309529286441e-12 
    6       1.208087576697e-10       1.032478441012e-14       5.173987897645e-13       1.676916280337e-18       2.205212283214e-09       1.709429029468e-10      -8.948468925700e-13 
    7       1.173342233455e-10       6.843838595490e-15       4.365330660503e-13       2.238195817224e-18       1.778233642842e-09       1.425663901552e-10      -5.443860557774e-13 
    8       1.150094176169e-10       4.045255171791e-15       3.576614997254e-13       2.880956158835e-18       1.468351550816e-09       1.208855287076e-10      -2.689334595323e-13 
    9       1.135899950186e-10       2.339962952417e-15       2.880577371191e-13       3.605625289288e-18       1.235838580625e-09       1.038809734707e-10      -7.009986708498e-14 
   10       1.128613018400e-10       1.576066392495e-15       2.317780349469e-13       4.412633973997e-18       1.056623420698e-09       9.029297740729e-11       5.745597583857e-14 
   11       1.126830764933e-10       1.351208675949e-15       1.905546770666e-13       5.302402652291e-18       8.886898864748e-10       7.950622630523e-11       1.233291887558e-13 
   12       1.129466835342e-10       1.294588313383e-15       1.640599038380e-13       6.275329165882e-18       7.765278492989e-10       7.028426675431e-11       1.421600855636e-13 
   13       1.135320831243e-10       1.208007401090e-15       1.505250308330e-13       7.331777799057e-18       6.844563325639e-10       6.274647515218e-11       1.277329346312e-13 
   14       1.143407942209e-10       1.063264028844e-15       1.473981485726e-13       8.472070050835e-18       6.078507021009e-10       5.620932690292e-11       9.279532789674e-14 
   15       1.153792178459e-10       9.202377752953e-16       1.516646922899e-13       9.696477486736e-18       5.433693949156e-10       5.074770640199e-11       4.959311332842e-14 
   16       1.166084638893e-10       8.404031751255e-16       1.602810277582e-13       1.100521693107e-17       4.885455304578e-10       4.611880692660e-11       7.232457043100e-15 
   17       1.179455003054e-10       8.411741252469e-16       1.707678006760e-13       1.239844816334e-17       4.415155573588e-10       4.212235062690e-11      -2.792920671919e-14 
   18       1.193943887612e-10       8.950457248369e-16       1.812583734406e-13       1.387627295240e-17       4.006946006379e-10       3.857273457452e-11      -5.233421669080e-14 
   19       1.209630582431e-10       9.693348483502e-16       1.907730515125e-13       1.543874396402e-17       3.654375302580e-10       3.544037684175e-11      -6.510245800031e-14 
   20       1.225956288914e-10       1.030562382000e-15       1.985685573295e-13       1.708585650600e-17       3.343837602407e-10       3.267209112089e-11      -6.706958889623e-14 
   21       1.243040211286e-10       1.081655448454e-15       2.047244303758e-13       1.881757374312e-17       3.070458376371e-10       3.022365554765e-11      -6.038518044635e-14 
   22       1.260879329723e-10       1.140726895750e-15       2.096934198437e-13       2.063381683407e-17       2.827706820452e-10       2.801369664239e-11      -4.840846273383e-14 
   23       1.279365717860e-10       1.227172459948e-15       2.139233701932e-13       2.253449490459e-17       2.612248132871e-10       2.601113569071e-11      -3.407762215474e-14 
   24       1.298178542226e-10       1.359591118704e-15       2.179345847875e-13       2.451949513785e-17       2.419102418459e-10       2.418236736224e-11      -2.047693880814e-14 
   25       1.317486504103e-10       1.538392514016e-15       2.222217827118e-13       2.658871772116e-17       2.246000750791e-10       2.253677291317e-11      -9.447600287025e-15 
   26       1.337412866655e-10       1.756560535831e-15       2.272302521935e-13       2.874206372008e-17       2.089813614953e-10       2.107676123861e-11      -2.331878072376e-15 
   27       1.357769113063e-10       2.007678387982e-15       2.329801808965e-13       3.097946570275e-17       1.948668547346e-10       1.976942682725e-11       6.620879431510e-16 
   28       1.378198933798e-10       2.285336750540e-15       2.392873933519e-13       3.330087999896e-17       1.820132713097e-10       1.856395052330e-11      -9.525831603161e-17 
   29       1.398799667646e-10       2.589051790853e-15       2.458479732662e-13       3.570632197986e-17       1.703550512753e-10       1.745584862306e-11      -3.801164546233e-15 
   30       1.419713711749e-10       2.920067201919e-15       2.522262636404e-13       3.819584633646e-17       1.597671041633e-10       1.644630547473e-11      -9.226625481856e-15 
   31       1.440979607470e-10       3.279007073663e-15       2.579084723684e-13       4.076954698929e-17       1.500335693266e-10       1.552718038316e-11      -1.492866692529e-14 
   32       1.462626233942e-10       3.663758717546e-15       2.625223782471e-13       4.342758065669e-17       1.411042582752e-10       1.468921490234e-11      -2.002926980334e-14 
   33       1.484586600483e-10       4.070695960752e-15       2.656892046690e-13       4.617016053029e-17       1.329161009729e-10       1.391497678047e-11      -2.370100680785e-14 
   34       1.506731977086e-10       4.496668876501e-15       2.670412868149e-13       4.899755003112e-17       1.253545982066e-10       1.318309429024e-11      -2.518539267137e-14 
   35       1.529128655302e-10       4.944269819680e-15       2.664970854461e-13       5.191004439117e-17       1.183811086208e-10       1.249406632719e-11      -2.459200581626e-14 
   36       1.551854465919e-10       5.418475913876e-15       2.640842959044e-13       5.490799053289e-17       1.119397475771e-10       1.185261310374e-11      -2.238999422136e-14 
   37       1.574933383125e-10       5.924454822898e-15       2.598749239711e-13       5.799177205435e-17       1.059467509946e-10       1.126054184385e-11      -1.915231805683e-14 
   38       1.598370075037e-10       6.464531448627e-15       2.540004613473e-13       6.116172562936e-17       1.003866707538e-10       1.071670073146e-11      -1.535846325183e-14 
   39       1.622114453136e-10       7.040265231125e-15       2.466473371120e-13       6.441820229595e-17       9.524189562610e-11       1.021646101702e-11      -1.154171849522e-14 
   40       1.646043532091e-10       7.653263661152e-15       2.380572466822e-13       6.776159291582e-17       9.046338870068e-11       9.751315804504e-12      -8.351246037818e-15 
   41       1.670017822198e-10       8.304886779369e-15       2.284586255107e-13       7.119228972556e-17       8.598777926325e-11       9.311592902125e-12      -6.389560850367e-15 
   42       1.694089274060e-10       8.995242780729e-15       2.178260472124e-13       7.471055018598e-17       8.180192044664e-11       8.896431754948e-12      -5.644107570960e-15 
   43       1.718349341924e-10       9.723866985697e-15       2.060482384621e-13       7.831659283771e-17       7.789473296940e-11       8.506510830192e-12      -5.882707279118e-15 
   44       1.742868950425e-10       1.048997092773e-14       1.929917448584e-13       8.201063390908e-17       7.423783278316e-11       8.141180043470e-12      -6.802859489111e-15 
   45       1.767695089577e-10       1.129272580415e-14       1.785110675895e-13       8.579285017582e-17       7.079567612265e-11       7.798904457498e-12      -8.072933980526e-15 
   46       1.792845498538e-10       1.213225975614e-14       1.624863340688e-13       8.966325532885e-17       6.756285812699e-11       7.479022667937e-12      -9.481082950590e-15 
