# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 35.1587 h/Mpc,
# number of wavenumbers equal to 582
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       5.246581358777e+01 
       2.333031646003e-05       1.136017128165e+02 
       3.625588232309e-05       1.735960512931e+02 
       4.926151484748e-05       2.331228490874e+02 
       6.238256282054e-05       2.925614265245e+02 
       7.565526530539e-05       3.521934871475e+02 
       8.911707687974e-05       4.122582834035e+02 
       1.028070072767e-04       4.729750957733e+02 
       1.167659797859e-04       5.345547389370e+02 
       1.310372128073e-04       5.972064632699e+02 
       1.456666289547e-04       6.611427118645e+02 
       1.607032960497e-04       7.265827915457e+02 
       1.761999041630e-04       7.937559775375e+02 
       1.922132824965e-04       8.629043363990e+02 
       2.088049592348e-04       9.342854039940e+02 
       2.260417664219e-04       1.008174835610e+03 
       2.439964902501e-04       1.084869036233e+03 
       2.627485646742e-04       1.164687825441e+03 
       2.823848027128e-04       1.247977081791e+03 
       3.030001548299e-04       1.335111355908e+03 
       3.246984770434e-04       1.426496346875e+03 
       3.475932824573e-04       1.522571124941e+03 
       3.718084384017e-04       1.623809947914e+03 
       3.974787570252e-04       1.730723415575e+03 
       4.247504100439e-04       1.843858666347e+03 
       4.537810789379e-04       1.963798272996e+03 
       4.847397315668e-04       2.091157361788e+03 
       5.178058974855e-04       2.226578461650e+03 
       5.531683013105e-04       2.370723612202e+03 
       5.910227121702e-04       2.524263155039e+03 
       6.315688849627e-04       2.687860929882e+03 
       6.750065137883e-04       2.862155658040e+03 
       7.215301959429e-04       3.047738767369e+03 
       7.713235180257e-04       3.245129380448e+03 
       8.245525173319e-04       3.454747699259e+03 
       8.813589235833e-04       3.676888682170e+03 
       9.418537183337e-04       3.911698365309e+03 
       1.006111625261e-03       4.159155273973e+03 
       1.074167130425e-03       4.419059419345e+03 
       1.146012510269e-03       4.691030449351e+03 
       1.221598126720e-03       4.974515749082e+03 
       1.300834972303e-03       5.268808118369e+03 
       1.383599172303e-03       5.573055392342e+03 
       1.469737934874e-03       5.886309102295e+03 
       1.559076324033e-03       6.207591562825e+03 
       1.651424225675e-03       6.535865132386e+03 
       1.746582964833e-03       6.870086019146e+03 
       1.844351177716e-03       7.209228678788e+03 
       1.944529704896e-03       7.552305410293e+03 
       2.046925420592e-03       7.898380610768e+03 
       2.151354028418e-03       8.246580853129e+03 
       2.257641930146e-03       8.596100510936e+03 
       2.365627314046e-03       8.946205248425e+03 
       2.475160621195e-03       9.296228674829e+03 
       2.586104540896e-03       9.645574134008e+03 
       2.698333668320e-03       9.993708047909e+03 
       2.811733934794e-03       1.034015682470e+04 
       2.926201898116e-03       1.068450682551e+04 
       3.041643959153e-03       1.102638815234e+04 
       3.157975553037e-03       1.136548041016e+04 
       3.275120348689e-03       1.170150705294e+04 
       3.393009479076e-03       1.203422401893e+04 
       3.511580816065e-03       1.236342417052e+04 
       3.630778297517e-03       1.268892666002e+04 
       3.750551309848e-03       1.301057834744e+04 
       3.870854126296e-03       1.332824814646e+04 
       3.991645399134e-03       1.364182510951e+04 
       4.112887702883e-03       1.395121902246e+04 
       4.234547124897e-03       1.425634932242e+04 
       4.356592899374e-03       1.455715606749e+04 
       4.478997080815e-03       1.485358860359e+04 
       4.601734253050e-03       1.514560892554e+04 
       4.724781270161e-03       1.543318256073e+04 
       4.848117025885e-03       1.571625714629e+04 
       4.971722248393e-03       1.599489983862e+04 
       5.095579317586e-03       1.626903902820e+04 
       5.219672102396e-03       1.653869190129e+04 
       5.343985815788e-03       1.680394394125e+04 
       5.468506885453e-03       1.706471508324e+04 
       5.593222838389e-03       1.732105229449e+04 
       5.718122197776e-03       1.757295378965e+04 
       5.843194390744e-03       1.781993809094e+04 
       5.968429665788e-03       1.806302453104e+04 
       6.093819018741e-03       1.830173860650e+04 
       6.219354126332e-03       1.853611588933e+04 
       6.345027286494e-03       1.876618878617e+04 
       6.470831364649e-03       1.899194686820e+04 
       6.596759745336e-03       1.921346234431e+04 
       6.722806288582e-03       1.943084228279e+04 
       6.848965290503e-03       1.964398518948e+04 
       6.975231447686e-03       1.985314402387e+04 
       7.101599824952e-03       2.005819908322e+04 
       7.228065826131e-03       2.025917792592e+04 
       7.354625167555e-03       2.045604942960e+04 
       7.481273853967e-03       2.064945930407e+04 
       7.608008156622e-03       2.083846745756e+04 
       7.734824593334e-03       2.102404973998e+04 
       7.861719910302e-03       2.120530477525e+04 
       7.988691065514e-03       2.138283395296e+04 
       8.115735213591e-03       2.155667355264e+04 
       8.242849691924e-03       2.172647514002e+04 
       8.370032007988e-03       2.189305842305e+04 
       8.497279827711e-03       2.205656948364e+04 
       8.624590964808e-03       2.221565733193e+04 
       8.751963370988e-03       2.237121152409e+04 
       8.879395126956e-03       2.252322068001e+04 
       9.006884434132e-03       2.267172613607e+04 
       9.134429607028e-03       2.281589179435e+04 
       9.262029066230e-03       2.295760078187e+04 
       9.389681331919e-03       2.309597971945e+04 
       9.517385017893e-03       2.323050510546e+04 
       9.645138826050e-03       2.336315743385e+04 
       9.772941541283e-03       2.349031952876e+04 
       9.900792026762e-03       2.361659588800e+04 
       1.002868921957e-02       2.373761844838e+04 
       1.015663212664e-02       2.385634102348e+04 
       1.028461982104e-02       2.397185401198e+04 
       1.041265143846e-02       2.408444770091e+04 
       1.054072617402e-02       2.419482433670e+04 
       1.066884327926e-02       2.429997454880e+04 
       1.079700205935e-02       2.440476557793e+04 
       1.092520187054e-02       2.450523557090e+04 
       1.105344211774e-02       2.460231986910e+04 
       1.118172225228e-02       2.469698304388e+04 
       1.131004176988e-02       2.478855756151e+04 
       1.143840020866e-02       2.487792531838e+04 
       1.156679714741e-02       2.496393064232e+04 
       1.169523220388e-02       2.504775795274e+04 
       1.182370503324e-02       2.512937189765e+04 
       1.195221532664e-02       2.520744055550e+04 
       1.208076280985e-02       2.528296748555e+04 
       1.220934724206e-02       2.535570706903e+04 
       1.233796841467e-02       2.542613237788e+04 
       1.246662615021e-02       2.549398802679e+04 
       1.259532030139e-02       2.555911301531e+04 
