# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 35.1587 h/Mpc,
# number of wavenumbers equal to 582
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       5.246581358777e+01 
       2.333031646003e-05       1.136017128165e+02 
       3.625588232309e-05       1.735960512931e+02 
       4.926151484748e-05       2.331228490874e+02 
       6.238256282054e-05       2.925614265245e+02 
       7.565526530539e-05       3.521934871475e+02 
       8.911707687974e-05       4.122582834035e+02 
       1.028070072767e-04       4.729750957733e+02 
       1.167659797859e-04       5.345547389370e+02 
       1.310372128073e-04       5.972064632699e+02 
       1.456666289547e-04       6.611427118645e+02 
       1.607032960497e-04       7.264982494706e+02 
       1.761999041630e-04       7.936547353125e+02 
       1.922132824965e-04       8.627842965560e+02 
       2.088049592348e-04       9.341442433247e+02 
       2.260417664219e-04       1.008009968207e+03 
       2.439964902501e-04       1.084677570758e+03 
       2.627485646742e-04       1.164466515590e+03 
       2.823848027128e-04       1.247722268772e+03 
       3.030001548299e-04       1.334818901586e+03 
       3.246984770434e-04       1.426161556070e+03 
       3.475932824573e-04       1.522188655205e+03 
       3.718084384017e-04       1.623373704982e+03 
       3.974787570252e-04       1.730226432587e+03 
       4.247504100439e-04       1.843292964966e+03 
       4.537810789379e-04       1.963154704695e+03 
       4.847397315668e-04       2.090425427920e+03 
       5.178058974855e-04       2.225746111598e+03 
       5.531683013105e-04       2.369777019885e+03 
       5.910227121702e-04       2.523186475549e+03 
       6.315688849627e-04       2.686636039931e+03 
       6.750065137883e-04       2.860761886367e+03 
       7.215301959429e-04       3.046152623946e+03 
       7.713235180257e-04       3.243324296223e+03 
       8.245525173319e-04       3.452693790653e+03 
       8.813589235833e-04       3.674552556244e+03 
       9.418537183337e-04       3.909042981735e+03 
       1.006111625261e-03       4.156139878400e+03 
       1.074167130425e-03       4.415639558990e+03 
       1.146012510269e-03       4.687158076252e+03 
       1.221598126720e-03       4.970139409784e+03 
       1.300834972303e-03       5.263873221891e+03 
       1.383599172303e-03       5.567504558682e+03 
       1.469737934874e-03       5.880082542970e+03 
       1.559076324033e-03       6.200627448766e+03 
       1.651424225675e-03       6.528100034567e+03 
       1.746582964833e-03       6.861455318175e+03 
       1.844351177716e-03       7.199666954615e+03 
       1.944529704896e-03       7.541746802532e+03 
       2.046925420592e-03       7.886759144298e+03 
       2.151354028418e-03       8.233830725565e+03 
       2.257641930146e-03       8.582156342207e+03 
       2.365627314046e-03       8.931002291902e+03 
       2.475160621195e-03       9.279702999854e+03 
       2.586104540896e-03       9.627662771200e+03 
       2.698333668320e-03       9.974349113100e+03 
       2.811733934794e-03       1.031928961754e+04 
       2.926201898116e-03       1.066207189796e+04 
       3.041643959153e-03       1.100232738372e+04 
       3.157975553037e-03       1.133973704614e+04 
       3.275120348689e-03       1.167402573357e+04 
       3.393009479076e-03       1.200495081322e+04 
       3.511580816065e-03       1.233230658275e+04 
       3.630778297517e-03       1.265591364637e+04 
       3.750551309848e-03       1.297562031514e+04 
       3.870854126296e-03       1.329129695541e+04 
       3.991645399134e-03       1.360283406828e+04 
       4.112887702883e-03       1.391014287251e+04 
       4.234547124897e-03       1.421314424662e+04 
       4.356592899374e-03       1.451177965820e+04 
       4.478997080815e-03       1.480599985829e+04 
       4.601734253050e-03       1.509576822617e+04 
       4.724781270161e-03       1.538105167863e+04 
       4.848117025885e-03       1.566179932178e+04 
       4.971722248393e-03       1.593807936371e+04 
       5.095579317586e-03       1.620982174664e+04 
       5.219672102396e-03       1.647704489429e+04 
       5.343985815788e-03       1.673983525323e+04 
       5.468506885453e-03       1.699811436054e+04 
       5.593222838389e-03       1.725193029120e+04 
       5.718122197776e-03       1.750128255727e+04 
       5.843194390744e-03       1.774569305028e+04 
       5.968429665788e-03       1.798617803468e+04 
       6.093819018741e-03       1.822226628631e+04 
       6.219354126332e-03       1.845399448932e+04 
       6.345027286494e-03       1.868139616465e+04 
       6.470831364649e-03       1.890446219071e+04 
       6.596759745336e-03       1.912326568520e+04 
       6.722806288582e-03       1.933791442560e+04 
       6.848965290503e-03       1.954830864183e+04 
       6.975231447686e-03       1.975470123003e+04 
       7.101599824952e-03       1.995697428357e+04 
       7.228065826131e-03       2.015515641571e+04 
       7.354625167555e-03       2.034921786698e+04 
       7.481273853967e-03       2.053980198506e+04 
       7.608008156622e-03       2.072597497742e+04 
       7.734824593334e-03       2.090870840951e+04 
       7.861719910302e-03       2.108710714385e+04 
       7.988691065514e-03       2.126177028900e+04 
       8.115735213591e-03       2.143273500164e+04 
       8.242849691924e-03       2.159965604871e+04 
       8.370032007988e-03       2.176334926046e+04 
       8.497279827711e-03       2.192396075518e+04 
       8.624590964808e-03       2.208014903962e+04 
       8.751963370988e-03       2.223279921898e+04 
       8.879395126956e-03       2.238190102464e+04 
       9.006884434132e-03       2.252749655830e+04 
       9.134429607028e-03       2.266875637328e+04 
       9.262029066230e-03       2.280755201402e+04 
       9.389681331919e-03       2.294301687257e+04 
       9.517385017893e-03       2.307463209054e+04 
       9.645138826050e-03       2.320436522775e+04 
       9.772941541283e-03       2.332862568325e+04 
       9.900792026762e-03       2.345198599976e+04 
       1.002868921957e-02       2.357011061888e+04 
       1.015663212664e-02       2.368593280517e+04 
       1.028461982104e-02       2.379855051786e+04 
       1.041265143846e-02       2.390825275938e+04 
       1.054072617402e-02       2.401573719391e+04 
       1.066884327926e-02       2.411801868800e+04 
       1.079700205935e-02       2.421992739149e+04 
       1.092520187054e-02       2.431753336459e+04 
       1.105344211774e-02       2.441176559976e+04 
       1.118172225228e-02       2.450358173458e+04 
       1.131004176988e-02       2.459232048262e+04 
       1.143840020866e-02       2.467885723868e+04 
       1.156679714741e-02       2.476204677695e+04 
       1.169523220388e-02       2.484306433434e+04 
       1.182370503324e-02       2.492187550477e+04 
       1.195221532664e-02       2.499716067072e+04 
       1.208076280985e-02       2.506991552966e+04 
       1.220934724206e-02       2.513989739277e+04 
       1.233796841467e-02       2.520757586440e+04 
       1.246662615021e-02       2.527269855820e+04 
       1.259532030139e-02       2.533510669543e+04 
