# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.652422611590e-10       7.813202337091e-15       4.891640519732e-13       7.864772438391e-16       8.628903617087e-09       4.854772066570e-10      -2.515854151458e-12 
    3       1.535399657011e-10       1.305544873586e-14       5.922366208730e-13       9.271971191395e-16       5.411291729526e-09       3.469573630222e-10      -2.211507030988e-12 
    4       1.440709123861e-10       1.519440297679e-14       6.054641708982e-13       9.310780451927e-16       3.776588562394e-09       2.639785162306e-10      -1.764116066972e-12 
    5       1.369974060813e-10       1.406737842651e-14       5.643389973333e-13       8.362608454039e-16       2.821984242049e-09       2.093815793204e-10      -1.309529286381e-12 
    6       1.318647160584e-10       1.090491765010e-14       4.953766781571e-13       6.906999788701e-16       2.205212290827e-09       1.709428901675e-10      -8.948468925043e-13 
    7       1.282968506888e-10       7.291158356245e-15       4.172547210181e-13       5.350502362543e-16       1.778233644131e-09       1.425663955290e-10      -5.443860557911e-13 
    8       1.259330952916e-10       4.367572713942e-15       3.412905534608e-13       3.961523237894e-16       1.468351550550e-09       1.208855441764e-10      -2.689334596575e-13 
    9       1.245067103220e-10       2.564682034907e-15       2.742555693039e-13       2.873586295352e-16       1.235838582091e-09       1.038809687782e-10      -7.009986708554e-14 
   10       1.237892703939e-10       1.737193495107e-15       2.200032304424e-13       2.119713866143e-16       1.056623423169e-09       9.029296034732e-11       5.745597608348e-14 
   11       1.236317104645e-10       1.480275716957e-15       1.802316861287e-13       1.669772660751e-16       8.886898898127e-10       7.950623086001e-11       1.233291888321e-13 
   12       1.239197247424e-10       1.415890477060e-15       1.546606348811e-13       1.465103523407e-16       7.765278523834e-10       7.028428632254e-11       1.421600851828e-13 
   13       1.245294606574e-10       1.337650365271e-15       1.416001937877e-13       1.440258117685e-16       6.844563354084e-10       6.274647242464e-11       1.277329344202e-13 
   14       1.253597984933e-10       1.210364389256e-15       1.385798241824e-13       1.537538463057e-16       6.078507047155e-10       5.620930609833e-11       9.279532842572e-14 
   15       1.264153437509e-10       1.089204826056e-15       1.426573224868e-13       1.711036248821e-16       5.433693973580e-10       5.074770792064e-11       4.959311374639e-14 
   16       1.276560643871e-10       1.032941887037e-15       1.508493341445e-13       1.929525585302e-16       4.885455327568e-10       4.611882993110e-11       7.232456377599e-15 
   17       1.289982828433e-10       1.057899279412e-15       1.607239129368e-13       2.172901391329e-16       4.415155595332e-10       4.212235207162e-11      -2.792920738550e-14 
   18       1.304450732252e-10       1.136386218405e-15       1.704523463161e-13       2.429518745612e-16       4.006946027059e-10       3.857272406269e-11      -5.233421616161e-14 
   19       1.320064784150e-10       1.235833688656e-15       1.790756693898e-13       2.694941969395e-16       3.654375322369e-10       3.544037303004e-11      -6.510245690515e-14 
   20       1.336244542759e-10       1.322977473779e-15       1.858760376532e-13       2.966373460022e-16       3.343837621457e-10       3.267209697117e-11      -6.706958961893e-14 
   21       1.353123573233e-10       1.400825643121e-15       1.909452932334e-13       3.243213523996e-16       3.070458394792e-10       3.022366351718e-11      -6.038518244017e-14 
   22       1.370694485393e-10       1.487528534137e-15       1.947478662673e-13       3.525799959635e-16       2.827706838286e-10       2.801369349630e-11      -4.840846186621e-14 
   23       1.388860472618e-10       1.602419977192e-15       1.977398049539e-13       3.814072518871e-16       2.612248150154e-10       2.601112428664e-11      -3.407761874121e-14 
   24       1.407295694980e-10       1.764002063799e-15       2.004503319788e-13       4.107967991887e-16       2.419102435222e-10       2.418236920156e-11      -2.047693897010e-14 
   25       1.426178006189e-10       1.972609022996e-15       2.033803391153e-13       4.407277503548e-16       2.246000767047e-10       2.253678945197e-11      -9.447604777692e-15 
   26       1.445628606302e-10       2.221163867614e-15       2.069814136131e-13       4.711852470213e-16       2.089813630689e-10       2.107676577824e-11      -2.331879952480e-15 
   27       1.465463699673e-10       2.503233740687e-15       2.112789059818e-13       5.021634158268e-16       1.948668562556e-10       1.976940625678e-11       6.620914508113e-16 
   28       1.485323757214e-10       2.812418258264e-15       2.160939489998e-13       5.336628684786e-16       1.820132727792e-10       1.856391729931e-11      -9.525394683013e-17 
   29       1.505317152072e-10       3.148258903417e-15       2.211269821089e-13       5.656628339950e-16       1.703550526959e-10       1.745581851310e-11      -3.801163514203e-15 
   30       1.525588643187e-10       3.512043502393e-15       2.259469443501e-13       5.981400273160e-16       1.597671055394e-10       1.644628975733e-11      -9.226628714602e-15 
   31       1.546167962130e-10       3.904446678444e-15       2.300449850345e-13       6.310734929385e-16       1.500335706636e-10       1.552718435833e-11      -1.492867199768e-14 
   32       1.567091437738e-10       4.323363718297e-15       2.330527381558e-13       6.644335844430e-16       1.411042595794e-10       1.468923765766e-11      -2.002927416720e-14 
   33       1.588295762480e-10       4.765164903855e-15       2.345951158133e-13       6.981891038116e-16       1.329161022513e-10       1.391500995559e-11      -2.370100895702e-14 
   34       1.609648282052e-10       5.226691898375e-15       2.343081931825e-13       7.323083892966e-16       1.253545994658e-10       1.318312311145e-11      -2.518539222886e-14 
   35       1.631220257818e-10       5.710503314491e-15       2.321136791609e-13       7.667529697349e-16       1.183811098644e-10       1.249408006081e-11      -2.459200275605e-14 
   36       1.653090740110e-10       6.221529614161e-15       2.280423663313e-13       8.014815767827e-16       1.119397488038e-10       1.185260952722e-11      -2.238998866620e-14 
   37       1.675280060239e-10       6.764885467730e-15       2.221694159928e-13       8.364536116531e-16       1.059467521985e-10       1.126052707917e-11      -1.915231030411e-14 
   38       1.697798920755e-10       7.342842857747e-15       2.146297983661e-13       8.716356914986e-16       1.003866719300e-10       1.071668115964e-11      -1.535845379467e-14 
   39       1.720601911181e-10       7.956903134240e-15       2.056135554438e-13       9.069972558180e-16       9.524189677179e-11       1.021644053243e-11      -1.154170804936e-14 
   40       1.743564658124e-10       8.608608163491e-15       1.953660534460e-13       9.425088781816e-16       9.046338981641e-11       9.751295130455e-12      -8.351235571843e-15 
   41       1.766543195693e-10       9.299256317623e-15       1.841188631082e-13       9.781390322661e-16       8.598778035237e-11       9.311569795466e-12      -6.389551480578e-15 
   42       1.789593546285e-10       1.002893825704e-14       1.718471566114e-13       1.013843006362e-15       8.180192151296e-11       8.896404336212e-12      -5.644099993896e-15 
   43       1.812810860141e-10       1.079718795692e-14       1.584390642635e-13       1.049570462397e-15       7.789473401631e-11       8.506478728459e-12      -5.882701518366e-15 
   44       1.836265708721e-10       1.160322124664e-14       1.437598284451e-13       1.085268233689e-15       7.423783381341e-11       8.141144712176e-12      -6.802854758064e-15 
   45       1.860002854026e-10       1.244620992785e-14       1.276630083438e-13       1.120883607086e-15       7.079567713815e-11       7.798869029624e-12      -8.072928771007e-15 
   46       1.884044151540e-10       1.332624697322e-14       1.100318416846e-13       1.156375755800e-15       6.756285912888e-11       7.478990221763e-12      -9.481075898218e-15 
   47       1.908381437892e-10       1.424363731466e-14       9.074753944787e-14       1.191707424043e-15       6.453562239783e-11       7.180292820495e-12      -1.082314912486e-14 
   48       1.932972043152e-10       1.519862743087e-14       6.967672867181e-14       1.226841786920e-15       6.170060667059e-11       6.900415580397e-12      -1.185901645156e-14 
   49       1.957735907051e-10       1.619140308997e-14       4.667059686217e-14       1.261742472971e-15       5.903413463507e-11       6.635769401241e-12      -1.231067343861e-14 
   50       1.982589545033e-10       1.722210097573e-14       2.160705218259e-14       1.296372130273e-15       5.650934482685e-11       6.382577805822e-12      -1.195044470295e-14 
   51       2.007565505910e-10       1.829085252359e-14      -5.467319743985e-15       1.330687613611e-15       5.412152963916e-11       6.140521746052e-12      -1.089819178564e-14 
   52       2.032720354851e-10       1.939774808143e-14      -3.444215900799e-14       1.364643529882e-15       5.186844057541e-11       5.909942262333e-12      -9.401516417274e-15 
   53       2.058099535175e-10       2.054282250005e-14      -6.518183846327e-14       1.398193535450e-15       4.974270563325e-11       5.690775840036e-12      -7.755018731829e-15 
