# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.569798130286e-11       5.039354388355e-16       7.646937192849e-15       7.862365175427e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.260239131544e-11       6.670505225486e-16      -1.463532543894e-14       9.267154214278e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       1.160700632319e-11       7.284732528309e-16      -2.233341558138e-14       9.302746802672e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       1.124449778635e-11       6.876371946535e-16      -2.361601845381e-14       8.350548161648e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       1.105593659351e-11       5.801201113109e-16      -2.202211432798e-14       6.890099326847e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       1.096260045849e-11       4.473021455447e-16      -1.927834989571e-14       5.327944235133e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       1.092364514956e-11       3.222947484215e-16      -1.637095431394e-14       3.932485706053e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       1.091668267476e-11       2.246904098286e-16      -1.380218032849e-14       2.837243253597e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       1.092793488910e-11       1.610918479770e-16      -1.177482319702e-14       2.075234869516e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       1.094860068145e-11       1.290245058371e-16      -1.032301755886e-14       1.616323098551e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       1.097300922121e-11       1.212516627388e-16      -9.399306192430e-15       1.401844929283e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       1.099735556951e-11       1.295838347988e-16      -8.924887216560e-15       1.366348600367e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       1.101899396412e-11       1.470319733148e-16      -8.818391517720e-15       1.452133237211e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       1.103612656668e-11       1.688888205078e-16      -9.007456766701e-15       1.613288241576e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       1.104761658395e-11       1.924501075993e-16      -9.431805803945e-15       1.818586091080e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       1.105282100550e-11       2.166257106993e-16      -1.004402948764e-14       2.047920745831e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       1.105074832943e-11       2.412298198363e-16      -1.080620481398e-14       2.289647003660e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       1.104351149680e-11       2.663766272763e-16      -1.169760310598e-14       2.539329471368e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       1.102894696298e-11       2.922811211394e-16      -1.269279161615e-14       2.794171488633e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       1.100849211397e-11       3.190243420345e-16      -1.377946924532e-14       3.053574660736e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       1.098171088171e-11       3.466438775583e-16      -1.494595701115e-14       3.317878550316e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       1.094971257912e-11       3.750779188401e-16      -1.618405228162e-14       3.587024787101e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       1.091199333651e-11       4.042296767151e-16      -1.748483679715e-14       3.860952261969e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       1.086947087080e-11       4.340238310395e-16      -1.884214023113e-14       4.139454018370e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   26       1.082194290085e-11       4.643995937842e-16      -2.024966633810e-14       4.422383342787e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   27       1.076988126890e-11       4.953409840164e-16      -2.170225407488e-14       4.709682971302e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   28       1.071296194843e-11       5.268570098478e-16      -2.319459691813e-14       5.001360175387e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   29       1.065228532994e-11       5.589730489379e-16      -2.472234196652e-14       5.297207692571e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   30       1.058808364178e-11       5.917332867583e-16      -2.628089660663e-14       5.596992621704e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   31       1.051947260513e-11       6.251882991823e-16      -2.786532288014e-14       5.900504861850e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   32       1.044719999656e-11       6.593460950366e-16      -2.947176784637e-14       6.207446672944e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
