# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.495438097263e-10       7.309024858045e-15       4.815170236572e-13       0.000000000000e+00 
    3       1.409365211578e-10       1.238791529013e-14       6.068718481369e-13       0.000000000000e+00 
    4       1.324621994779e-10       1.446512623658e-14       6.277977018565e-13       0.000000000000e+00 
    5       1.257504485203e-10       1.337853487583e-14       5.879551662404e-13       0.000000000000e+00 
    6       1.208055636331e-10       1.032310728835e-14       5.173990027230e-13       0.000000000000e+00 
    7       1.173296368922e-10       6.841600273375e-15       4.365336992124e-13       0.000000000000e+00 
    8       1.150035414198e-10       4.042374105785e-15       3.576624378465e-13       0.000000000000e+00 
    9       1.135827779524e-10       2.336357127523e-15       2.880589069441e-13       0.000000000000e+00 
   10       1.128526026495e-10       1.571653424183e-15       2.317799905089e-13       0.000000000000e+00 
   11       1.126729549303e-10       1.345905877986e-15       1.905574874895e-13       0.000000000000e+00 
   12       1.129344071312e-10       1.288312481490e-15       1.640635789686e-13       0.000000000000e+00 
   13       1.135178933986e-10       1.200674812544e-15       1.505299158966e-13       0.000000000000e+00 
   14       1.143246531962e-10       1.054790764850e-15       1.474046171435e-13       0.000000000000e+00 
   15       1.153613558521e-10       9.105397840989e-16       1.516729249376e-13       0.000000000000e+00 
   16       1.165878616361e-10       8.293960084287e-16       1.602915632502e-13       0.000000000000e+00 
   17       1.179229274362e-10       8.287731626993e-16       1.707805817094e-13       0.000000000000e+00 
   18       1.193694422756e-10       8.811665155768e-16       1.812738428527e-13       0.000000000000e+00 
   19       1.209352382162e-10       9.538928611810e-16       1.907917093615e-13       0.000000000000e+00 
   20       1.225650725920e-10       1.013472981319e-15       1.985906842214e-13       0.000000000000e+00 
   21       1.242707813691e-10       1.062834280329e-15       2.047503797743e-13       0.000000000000e+00 
   22       1.260517686450e-10       1.120090036117e-15       2.097236952387e-13       0.000000000000e+00 
   23       1.278973764565e-10       1.204636105827e-15       2.139584035799e-13       0.000000000000e+00 
   24       1.297757649409e-10       1.335071570527e-15       2.179747033840e-13       0.000000000000e+00 
