# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495438097263e-10       7.309024858045e-15       4.815170236572e-13       0.000000000000e+00       8.628902858204e-09       4.854774788704e-10      -2.515853718940e-12 
    3       1.409365211578e-10       1.238791529013e-14       6.068718481369e-13       0.000000000000e+00       5.411291229342e-09       3.469571006380e-10      -2.211506758999e-12 
    4       1.324621994779e-10       1.446512623658e-14       6.277977018565e-13       0.000000000000e+00       3.776588570425e-09       2.639780147159e-10      -1.764116142349e-12 
    5       1.257504485203e-10       1.337853487583e-14       5.879551662404e-13       0.000000000000e+00       2.821984141702e-09       2.093817342798e-10      -1.309529307108e-12 
    6       1.208055636331e-10       1.032310728835e-14       5.173990027230e-13       0.000000000000e+00       2.205212070698e-09       1.709435909534e-10      -8.948469001449e-13 
    7       1.173296368922e-10       6.841600273375e-15       4.365336992124e-13       0.000000000000e+00       1.778233287847e-09       1.425665173946e-10      -5.443860559181e-13 
    8       1.150035414198e-10       4.042374105785e-15       3.576624378465e-13       0.000000000000e+00       1.468351157950e-09       1.208848269689e-10      -2.689334494980e-13 
    9       1.135827779524e-10       2.336357127523e-15       2.880589069441e-13       0.000000000000e+00       1.235838130035e-09       1.038805362120e-10      -7.009986370910e-14 
   10       1.128526026495e-10       1.571653424183e-15       2.317799905089e-13       0.000000000000e+00       1.056622855092e-09       9.029348739764e-11       5.745596057372e-14 
   11       1.126729549303e-10       1.345905877986e-15       1.905574874895e-13       0.000000000000e+00       8.886830289454e-10       7.950685431507e-11       1.233291756035e-13 
   12       1.129344071312e-10       1.288312481490e-15       1.640635789686e-13       0.000000000000e+00       7.765215377755e-10       7.028402369447e-11       1.421600999618e-13 
   13       1.135178933986e-10       1.200674812544e-15       1.505299158966e-13       0.000000000000e+00       6.844504866882e-10       6.274577696386e-11       1.277329592997e-13 
   14       1.143246531962e-10       1.054790764850e-15       1.474046171435e-13       0.000000000000e+00       6.078452579991e-10       5.620926647617e-11       9.279532439332e-14 
   15       1.153613558521e-10       9.105397840989e-16       1.516729249376e-13       0.000000000000e+00       5.433643010359e-10       5.074833972553e-11       4.959308722186e-14 
   16       1.165878616361e-10       8.293960084287e-16       1.602915632502e-13       0.000000000000e+00       4.885407445432e-10       4.611916225424e-11       7.232453447085e-15 
   17       1.179229274362e-10       8.287731626993e-16       1.707805817094e-13       0.000000000000e+00       4.415110443505e-10       4.212195696834e-11      -2.792917975521e-14 
   18       1.193694422756e-10       8.811665155768e-16       1.812738428527e-13       0.000000000000e+00       4.006903300234e-10       3.857232073291e-11      -5.233421521831e-14 
   19       1.209352382162e-10       9.538928611810e-16       1.907917093615e-13       0.000000000000e+00       3.654334793689e-10       3.544044044363e-11      -6.510249348292e-14 
   20       1.225650725920e-10       1.013472981319e-15       1.985906842214e-13       0.000000000000e+00       3.343799075046e-10       3.267237005051e-11      -6.706959732340e-14 
   21       1.242707813691e-10       1.062834280329e-15       2.047503797743e-13       0.000000000000e+00       3.070421631301e-10       3.022382571826e-11      -6.038513770461e-14 
   22       1.260517686450e-10       1.120090036117e-15       2.097236952387e-13       0.000000000000e+00       2.827671707044e-10       2.801364058694e-11      -4.840842113454e-14 
   23       1.278973764565e-10       1.204636105827e-15       2.139584035799e-13       0.000000000000e+00       2.612214512236e-10       2.601094260359e-11      -3.407763222956e-14 
   24       1.297757649409e-10       1.335071570527e-15       2.179747033840e-13       0.000000000000e+00       2.419070170933e-10       2.418229220488e-11      -2.047701196506e-14 
   25       1.317037063530e-10       1.511806589937e-15       2.222675111826e-13       0.000000000000e+00       2.245969765175e-10       2.253688475491e-11      -9.447678179397e-15 
   26       1.336933242792e-10       1.727825695054e-15       2.272823597749e-13       0.000000000000e+00       2.089783797917e-10       2.107685912215e-11      -2.331847533291e-15 
   27       1.357257337553e-10       1.976712357840e-15       2.330392722139e-13       0.000000000000e+00       1.948639813761e-10       1.976938171103e-11       6.622296773312e-16 
   28       1.377653306316e-10       2.252057465407e-15       2.393538070985e-13       0.000000000000e+00       1.820104990614e-10       1.856380805105e-11      -9.514691209577e-17 
   29       1.398218935244e-10       2.553377714077e-15       2.459221053268e-13       0.000000000000e+00       1.703523729710e-10       1.745569294907e-11      -3.801184843671e-15 
   30       1.419097240319e-10       2.881917482468e-15       2.523086964724e-13       0.000000000000e+00       1.597645132640e-10       1.644621587090e-11      -9.226760669023e-15 
   31       1.440327384264e-10       3.238301544556e-15       2.579999615704e-13       0.000000000000e+00       1.500310606813e-10       1.552721843772e-11      -1.492878780542e-14 
   32       1.461938271975e-10       3.620417575354e-15       2.626236153574e-13       0.000000000000e+00       1.411018268442e-10       1.468938432490e-11      -2.002928305279e-14 
   33       1.483862713739e-10       4.024639636283e-15       2.658007168185e-13       0.000000000000e+00       1.329137419897e-10       1.391519828905e-11      -2.370091578355e-14 
   34       1.505971694839e-10       4.447818043209e-15       2.671634400458e-13       0.000000000000e+00       1.253523076395e-10       1.318321784983e-11      -2.518529244879e-14 
   35       1.528331104247e-10       4.892545618907e-15       2.666302589787e-13       0.000000000000e+00       1.183788825609e-10       1.249399334119e-11      -2.459197085361e-14 
   36       1.551018261906e-10       5.363800035088e-15       2.642289457895e-13       0.000000000000e+00       1.119375824233e-10       1.185234875049e-11      -2.239003523040e-14 
