# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi    
    2       1.466992578483e-10       6.330482146726e-15       4.435891074463e-13       2.418587865455e-19       8.664975538838e-09       4.784181207988e-10      -2.328849788725e-12 
    3       1.384483103329e-10       9.931885845957e-15       5.399396172380e-13       4.838906719488e-19       5.341254711531e-09       3.411669640725e-10      -1.974156414163e-12 
    4       1.303977944823e-10       1.068600189571e-14       5.425978484925e-13       8.068636857972e-19       3.722149581263e-09       2.593441356047e-10      -1.502213264037e-12 
    5       1.241292453766e-10       9.021884798399e-15       4.943080671353e-13       1.210993711301e-18       2.781202451041e-09       2.054313200564e-10      -1.046003279791e-12 
    6       1.196104292541e-10       6.300912715168e-15       4.233701468786e-13       1.696538243291e-18       2.173769539445e-09       1.675215445774e-10      -6.506993610565e-13 
    7       1.165542984860e-10       3.793351495295e-15       3.483227552549e-13       2.263788851645e-18       1.753959491156e-09       1.396305322931e-10      -3.364688441247e-13 
    8       1.145688650305e-10       2.132215996287e-15       2.798214871068e-13       2.913062803357e-18       1.448945236040e-09       1.183504792929e-10      -1.086669749925e-13 
    9       1.134372666541e-10       1.324959603420e-15       2.235313082800e-13       3.644694161402e-18       1.219102420710e-09       1.016409699022e-10       3.730550660278e-14 
   10       1.129544773442e-10       1.049325349173e-15       1.818100843022e-13       4.459024696509e-18       1.041357672283e-09       8.830334080474e-11       1.130051975692e-13 
   11       1.129634697893e-10       9.646600184648e-16       1.547371473508e-13       5.356394952593e-18       8.790822900549e-10       7.781966981630e-11       1.337648009564e-13 
   12       1.134085898556e-10       8.803458249873e-16       1.405674412496e-13       6.337135797529e-18       7.681976418464e-10       6.891645507168e-11       1.178501440691e-13 
   13       1.141242575867e-10       7.638385862676e-16       1.365142781315e-13       7.401560768703e-18       6.771668880167e-10       6.152869873699e-11       8.109353893064e-14 
   14       1.150387460731e-10       6.606811090171e-16       1.395813265598e-13       8.549959488162e-18       6.014165453772e-10       5.514648972874e-11       3.705768961915e-14 
   15       1.161616912875e-10       6.129326490392e-16       1.469274008429e-13       9.782592376709e-18       5.376511410777e-10       4.979527094052e-11      -3.621534466653e-15 
   16       1.174911804996e-10       6.237318458596e-16       1.561343511792e-13       1.109968684174e-17       4.834320643040e-10       4.527501368350e-11      -3.451478011211e-14 
   17       1.188879531643e-10       6.672346779607e-16       1.655753220377e-13       1.250143505223e-17       4.369174656001e-10       4.137092079626e-11      -5.279136559246e-14 
   18       1.204084022630e-10       7.148265986851e-16       1.742480323022e-13       1.398799258120e-17       3.965413767774e-10       3.785268068575e-11      -5.876340227973e-14 
   19       1.220632181292e-10       7.630201346785e-16       1.818939087480e-13       1.555948326795e-17       3.616634175340e-10       3.471282803630e-11      -5.452762285602e-14 
   20       1.237696792455e-10       8.182288054396e-16       1.885341776276e-13       1.721599337311e-17       3.309425987102e-10       3.194727961932e-11      -4.375850057199e-14 
   21       1.255419954908e-10       8.945282634644e-16       1.945740707487e-13       1.895758681372e-17       3.038972894488e-10       2.952696077943e-11      -2.989553537030e-14 
   22       1.273909833514e-10       1.007658511243e-15       2.005967033235e-13       2.078429829786e-17       2.798806029754e-10       2.737193152452e-11      -1.671071920674e-14 
   23       1.293018678161e-10       1.157873413010e-15       2.069578236713e-13       2.269615182174e-17       2.585627198618e-10       2.543808082144e-11      -6.393155460645e-15 
   24       1.312341754315e-10       1.339163384264e-15       2.139123070774e-13       2.469315375465e-17       2.394514016488e-10       2.367212690292e-11      -4.863236683950e-16 
   25       1.332048091966e-10       1.547517539282e-15       2.214875247732e-13       2.677531480815e-17       2.223225216815e-10       2.206926120715e-11       9.081501115936e-16 
   26       1.352310013162e-10       1.779394343021e-15       2.295535969824e-13       2.894264161502e-17       2.068667941033e-10       2.062483731997e-11      -1.508473182553e-15 
   27       1.373062780837e-10       2.035271750643e-15       2.377556786482e-13       3.119515614670e-17       1.928991546280e-10       1.932986329624e-11      -6.330024240013e-15 
   28       1.394080869752e-10       2.316394547004e-15       2.456163978820e-13       3.353289024038e-17       1.801790281608e-10       1.816329329167e-11      -1.179583070363e-14 
   29       1.415428809053e-10       2.621808413123e-15       2.527607156699e-13       3.595590894311e-17       1.686415364406e-10       1.711023314716e-11      -1.690787859942e-14 
   30       1.437144817432e-10       2.949343382720e-15       2.587823126338e-13       3.846429641452e-17       1.581628266249e-10       1.614445323102e-11      -2.075071214667e-14 
